n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,15251.54950366,152.51549504
100,BaselineAS,15737.56234117,157.37562341
100,ElitistAS,15509.39943595,155.09399436
100,MaxMinAS,15580.99487523,155.80994875
101,BlindBlendAS,15332.47869791,153.32478698
101,BaselineAS,15975.30569574,159.75305696
101,ElitistAS,15712.59463377,157.12594634
101,MaxMinAS,15362.86359360,153.62863594
102,BlindBlendAS,15820.80977104,158.20809771
102,BaselineAS,16328.19425466,163.28194255
102,ElitistAS,16260.95221547,162.60952215
102,MaxMinAS,16374.10850851,163.74108509
103,BlindBlendAS,15646.32059867,156.46320599
103,BaselineAS,16026.04816551,160.26048166
103,ElitistAS,16039.21160871,160.39211609
103,MaxMinAS,15831.21027273,158.31210273
104,BlindBlendAS,16247.97940850,162.47979409
104,BaselineAS,16582.20790432,165.82207904
104,ElitistAS,16669.07907360,166.69079074
104,MaxMinAS,16492.80750838,164.92807508
105,BlindBlendAS,15312.17622066,153.12176221
105,BaselineAS,15678.99835256,156.78998353
105,ElitistAS,15598.27850682,155.98278507
105,MaxMinAS,15319.77173537,153.19771735
106,BlindBlendAS,16179.40035284,161.79400353
106,BaselineAS,16625.73153569,166.25731536
106,ElitistAS,16506.18033416,165.06180334
106,MaxMinAS,16184.03983605,161.84039836
107,BlindBlendAS,16191.53423503,161.91534235
107,BaselineAS,16471.56596157,164.71565962
107,ElitistAS,16567.32891355,165.67328914
107,MaxMinAS,16375.80000237,163.75800002
108,BlindBlendAS,15356.57257007,153.56572570
108,BaselineAS,15693.01543134,156.93015431
108,ElitistAS,15437.47410279,154.37474103
108,MaxMinAS,15336.26389470,153.36263895
109,BlindBlendAS,15739.87361802,157.39873618
109,BaselineAS,16132.90318748,161.32903187
109,ElitistAS,16141.69315265,161.41693153
109,MaxMinAS,15919.89778227,159.19897782
110,BlindBlendAS,15929.87997932,159.29879979
110,BaselineAS,16041.92231725,160.41922317
110,ElitistAS,15955.56851961,159.55568520
110,MaxMinAS,15908.50800913,159.08508009
111,BlindBlendAS,15237.62569835,152.37625698
111,BaselineAS,15401.51632000,154.01516320
111,ElitistAS,15416.91684050,154.16916841
111,MaxMinAS,15141.82584572,151.41825846
112,BlindBlendAS,16700.24907685,167.00249077
112,BaselineAS,17078.59050626,170.78590506
112,ElitistAS,17125.39890977,171.25398910
112,MaxMinAS,16517.46605466,165.17466055
113,BlindBlendAS,15576.52390827,155.76523908
113,BaselineAS,16016.06439503,160.16064395
113,ElitistAS,15944.68989950,159.44689900
113,MaxMinAS,15805.41927100,158.05419271
114,BlindBlendAS,15586.49760426,155.86497604
114,BaselineAS,16036.77742465,160.36777425
114,ElitistAS,15747.66753483,157.47667535
114,MaxMinAS,15881.12206920,158.81122069
115,BlindBlendAS,15448.49684585,154.48496846
115,BaselineAS,16116.93088710,161.16930887
115,ElitistAS,15953.61343497,159.53613435
115,MaxMinAS,15448.49684585,154.48496846
116,BlindBlendAS,15773.63128544,157.73631285
116,BaselineAS,16616.30205615,166.16302056
116,ElitistAS,16311.41846123,163.11418461
116,MaxMinAS,16045.39510728,160.45395107
117,BlindBlendAS,14857.19827389,148.57198274
117,BaselineAS,15046.36568023,150.46365680
117,ElitistAS,15126.08142852,151.26081429
117,MaxMinAS,14794.33255252,147.94332553
118,BlindBlendAS,15821.52163860,158.21521639
118,BaselineAS,16375.64515486,163.75645155
118,ElitistAS,16242.59747517,162.42597475
118,MaxMinAS,15882.96692157,158.82966922
119,BlindBlendAS,15518.04829401,155.18048294
119,BaselineAS,15741.05373240,157.41053732
119,ElitistAS,15661.25521018,156.61255210
119,MaxMinAS,15643.97809643,156.43978096
120,BlindBlendAS,15244.20821863,152.44208219
120,BaselineAS,15898.52295706,158.98522957
120,ElitistAS,15716.75226728,157.16752267
