n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,43813.32746991,219.06663735
100,BaselineAS,48739.31222102,243.69656111
100,ElitistAS,47239.70471645,236.19852358
100,MaxMinAS,46073.04388577,230.36521943
101,BlindBlendAS,46384.96788714,231.92483944
101,BaselineAS,48744.10540051,243.72052700
101,ElitistAS,47822.30952163,239.11154761
101,MaxMinAS,46861.56603930,234.30783020
102,BlindBlendAS,46914.26420975,234.57132105
102,BaselineAS,50783.12601502,253.91563008
102,ElitistAS,50459.88718119,252.29943591
102,MaxMinAS,48573.69572453,242.86847862
103,BlindBlendAS,44724.06362669,223.62031813
103,BaselineAS,48188.29788820,240.94148944
103,ElitistAS,47724.33140725,238.62165704
103,MaxMinAS,44379.95051810,221.89975259
104,BlindBlendAS,43443.53455840,217.21767279
104,BaselineAS,47458.58512496,237.29292562
104,ElitistAS,47256.80383228,236.28401916
104,MaxMinAS,45002.02941777,225.01014709
105,BlindBlendAS,43683.79934198,218.41899671
105,BaselineAS,44768.04754276,223.84023771
105,ElitistAS,45066.91575001,225.33457875
105,MaxMinAS,44834.41097313,224.17205487
106,BlindBlendAS,43910.20976575,219.55104883
106,BaselineAS,46433.50517194,232.16752586
106,ElitistAS,46314.03056091,231.57015280
106,MaxMinAS,45064.11591235,225.32057956
107,BlindBlendAS,46162.23616196,230.81118081
107,BaselineAS,48061.74972005,240.30874860
107,ElitistAS,48080.45236452,240.40226182
107,MaxMinAS,46881.86718503,234.40933593
108,BlindBlendAS,44459.72091074,222.29860455
108,BaselineAS,47545.17977450,237.72589887
108,ElitistAS,46519.63748593,232.59818743
108,MaxMinAS,44996.72829270,224.98364146
109,BlindBlendAS,45777.07578089,228.88537890
109,BaselineAS,48856.16871024,244.28084355
109,ElitistAS,47981.74725459,239.90873627
109,MaxMinAS,46892.72175400,234.46360877
110,BlindBlendAS,45147.83461404,225.73917307
110,BaselineAS,47440.92005633,237.20460028
110,ElitistAS,44962.02968000,224.81014840
110,MaxMinAS,46067.62736206,230.33813681
111,BlindBlendAS,45200.43321282,226.00216606
111,BaselineAS,46324.92946882,231.62464734
111,ElitistAS,45009.86280436,225.04931402
111,MaxMinAS,45711.79344178,228.55896721
112,BlindBlendAS,46404.62877837,232.02314389
112,BaselineAS,48942.35267681,244.71176338
112,ElitistAS,48278.72263482,241.39361317
112,MaxMinAS,46379.26641932,231.89633210
113,BlindBlendAS,43509.73127263,217.54865636
113,BaselineAS,48388.03282248,241.94016411
113,ElitistAS,47835.80831292,239.17904156
113,MaxMinAS,45525.79344803,227.62896724
114,BlindBlendAS,45328.40135195,226.64200676
114,BaselineAS,46726.69117739,233.63345589
114,ElitistAS,46464.75853733,232.32379269
114,MaxMinAS,45604.69347906,228.02346740
115,BlindBlendAS,45092.58027278,225.46290136
115,BaselineAS,48058.71207321,240.29356037
115,ElitistAS,47974.80910870,239.87404554
115,MaxMinAS,47213.66629801,236.06833149
116,BlindBlendAS,45655.78015906,228.27890080
116,BaselineAS,48611.61529712,243.05807649
116,ElitistAS,47387.41863687,236.93709318
116,MaxMinAS,45895.05318254,229.47526591
117,BlindBlendAS,42568.90799798,212.84453999
117,BaselineAS,46599.73934229,232.99869671
117,ElitistAS,45966.04802013,229.83024010
117,MaxMinAS,42836.29567492,214.18147837
118,BlindBlendAS,43075.37880833,215.37689404
118,BaselineAS,46517.26379287,232.58631896
118,ElitistAS,46012.27566556,230.06137833
118,MaxMinAS,43395.86706507,216.97933533
119,BlindBlendAS,45868.26852174,229.34134261
119,BaselineAS,49117.45367494,245.58726837
119,ElitistAS,47259.14854536,236.29574273
119,MaxMinAS,47566.20804504,237.83104023
120,BlindBlendAS,42309.68812761,211.54844064
120,BaselineAS,46796.61599615,233.98307998
120,ElitistAS,46818.60951764,234.09304759
120,MaxMinAS,44259.40143472,221.29700717
121,BlindBlendAS,46154.08625695,230.77043128
121,BaselineAS,46189.39198703,230.94695994
121,ElitistAS,45197.19296184,225.98596481
121,MaxMinAS,45375.21595311,226.87607977
122,BlindBlendAS,45327.09971783,226.63549859
122,BaselineAS,48579.15464925,242.89577325
122,ElitistAS,46770.11808952,233.85059045
122,MaxMinAS,45806.75814268,229.03379071
123,BlindBlendAS,44169.55481222,220.84777406
123,BaselineAS,47154.04226164,235.77021131
123,ElitistAS,47244.81261507,236.22406308
123,MaxMinAS,45304.99357580,226.52496788
124,BlindBlendAS,46476.51834321,232.38259172
124,BaselineAS,49351.75808949,246.75879045
124,ElitistAS,49262.61308038,246.31306540
124,MaxMinAS,46420.02810091,232.10014050
125,BlindBlendAS,44125.49981345,220.62749907
125,BaselineAS,46496.72822251,232.48364111
