n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,28620.51458863,190.80343059
100,BaselineAS,29720.76086076,198.13840574
100,ElitistAS,29502.19654248,196.68131028
100,MaxMinAS,28673.92752145,191.15951681
101,BlindBlendAS,28850.23565959,192.33490440
101,BaselineAS,30615.80405165,204.10536034
101,ElitistAS,30321.48189543,202.14321264
101,MaxMinAS,28990.82295655,193.27215304
102,BlindBlendAS,29560.69008817,197.07126725
102,BaselineAS,31215.67417346,208.10449449
102,ElitistAS,31038.25376712,206.92169178
102,MaxMinAS,29685.14847003,197.90098980
103,BlindBlendAS,28794.19049389,191.96126996
103,BaselineAS,29932.80067454,199.55200450
103,ElitistAS,30142.95204523,200.95301363
103,MaxMinAS,28525.46661711,190.16977745
104,BlindBlendAS,28124.69104076,187.49794027
104,BaselineAS,28971.51220172,193.14341468
104,ElitistAS,29237.57770827,194.91718472
104,MaxMinAS,28500.58854928,190.00392366
105,BlindBlendAS,27728.42394569,184.85615964
105,BaselineAS,28189.45255229,187.92968368
105,ElitistAS,28014.79384933,186.76529233
105,MaxMinAS,27919.90780068,186.13271867
106,BlindBlendAS,28275.86017055,188.50573447
106,BaselineAS,29562.98937574,197.08659584
106,ElitistAS,29645.91673460,197.63944490
106,MaxMinAS,28944.88899522,192.96592663
107,BlindBlendAS,30189.86001352,201.26573342
107,BaselineAS,31115.55848963,207.43705660
107,ElitistAS,31047.89542840,206.98596952
107,MaxMinAS,29741.66407007,198.27776047
108,BlindBlendAS,28178.16056608,187.85440377
108,BaselineAS,30303.90853909,202.02605693
108,ElitistAS,29266.81950604,195.11213004
108,MaxMinAS,28595.74740638,190.63831604
109,BlindBlendAS,27666.06456387,184.44043043
109,BaselineAS,29418.35199339,196.12234662
109,ElitistAS,29248.95299078,194.99301994
109,MaxMinAS,28198.44993732,187.98966625
110,BlindBlendAS,28176.13675498,187.84091170
110,BaselineAS,29295.80802531,195.30538684
110,ElitistAS,29256.32610142,195.04217401
110,MaxMinAS,28176.13675498,187.84091170
111,BlindBlendAS,28157.86905177,187.71912701
111,BaselineAS,29602.42060663,197.34947071
111,ElitistAS,29144.01010493,194.29340070
111,MaxMinAS,28648.36628117,190.98910854
112,BlindBlendAS,28647.76351588,190.98509011
112,BaselineAS,30100.26205610,200.66841371
112,ElitistAS,30043.55630275,200.29037535
112,MaxMinAS,28802.53507620,192.01690051
113,BlindBlendAS,26708.84054430,178.05893696
113,BaselineAS,27793.07452887,185.28716353
113,ElitistAS,27501.78966526,183.34526444
113,MaxMinAS,26931.57000374,179.54380002
114,BlindBlendAS,27939.82276990,186.26548513
114,BaselineAS,29718.30363959,198.12202426
114,ElitistAS,29742.74053938,198.28493693
114,MaxMinAS,28404.16237168,189.36108248
115,BlindBlendAS,29390.04248175,195.93361655
115,BaselineAS,31033.22744450,206.88818296
115,ElitistAS,30311.55517817,202.07703452
115,MaxMinAS,29119.66646116,194.13110974
116,BlindBlendAS,29432.66677556,196.21777850
116,BaselineAS,30758.78656775,205.05857712
116,ElitistAS,30303.83736476,202.02558243
116,MaxMinAS,29704.95832980,198.03305553
117,BlindBlendAS,26537.13957799,176.91426385
117,BaselineAS,28015.02395047,186.76682634
117,ElitistAS,28079.62378507,187.19749190
117,MaxMinAS,26461.91731283,176.41278209
118,BlindBlendAS,28098.19037136,187.32126914
118,BaselineAS,28816.97755435,192.11318370
118,ElitistAS,29370.43948429,195.80292990
118,MaxMinAS,28608.82941906,190.72552946
119,BlindBlendAS,28024.03609709,186.82690731
119,BaselineAS,28856.59345376,192.37728969
119,ElitistAS,28929.73505192,192.86490035
119,MaxMinAS,28164.73406135,187.76489374
120,BlindBlendAS,26747.18563792,178.31457092
120,BaselineAS,28078.08005027,187.18720034
120,ElitistAS,28600.10380984,190.66735873
120,MaxMinAS,27061.62096418,180.41080643
121,BlindBlendAS,29224.37509652,194.82916731
121,BaselineAS,30360.48018990,202.40320127
121,ElitistAS,30368.83348788,202.45888992
121,MaxMinAS,29374.60637412,195.83070916
122,BlindBlendAS,30068.17359036,200.45449060
122,BaselineAS,30857.89595301,205.71930635
122,ElitistAS,31073.98485059,207.15989900
122,MaxMinAS,29931.74013699,199.54493425
123,BlindBlendAS,28169.66089918,187.79773933
123,BaselineAS,28939.75556205,192.93170375
123,ElitistAS,28702.09221166,191.34728141
123,MaxMinAS,27920.50431855,186.13669546
124,BlindBlendAS,29648.22456586,197.65483044
124,BaselineAS,30776.39170056,205.17594467
124,ElitistAS,30448.77578504,202.99183857
124,MaxMinAS,29943.28650661,199.62191004
125,BlindBlendAS,28731.88814476,191.54592097
125,BaselineAS,29760.47580533,198.40317204
125,ElitistAS,29823.00461925,198.82003080
125,MaxMinAS,28823.68731011,192.15791540
126,BlindBlendAS,28457.76398461,189.71842656
126,BaselineAS,29733.22261254,198.22148408
126,ElitistAS,29376.38987445,195.84259916
126,MaxMinAS,28156.30653928,187.70871026
127,BlindBlendAS,29082.35974755,193.88239832
127,BaselineAS,30069.88405825,200.46589372
127,ElitistAS,29812.92559841,198.75283732
127,MaxMinAS,28775.36645852,191.83577639
128,BlindBlendAS,27020.76052952,180.13840353
128,BaselineAS,28324.53301899,188.83022013
128,ElitistAS,28112.69440695,187.41796271
128,MaxMinAS,27112.42226082,180.74948174
129,BlindBlendAS,27898.20413569,185.98802757
129,BaselineAS,28631.59575234,190.87730502
129,ElitistAS,28527.65970350,190.18439802
129,MaxMinAS,28198.46391506,187.98975943
130,BlindBlendAS,27745.54723799,184.97031492
130,BaselineAS,29098.66146755,193.99107645
130,ElitistAS,28949.01469158,192.99343128
130,MaxMinAS,27810.87129733,185.40580865
131,BlindBlendAS,29003.31635713,193.35544238
131,BaselineAS,30946.68290087,206.31121934
131,ElitistAS,30189.55139712,201.26367598
131,MaxMinAS,29018.13466763,193.45423112
132,BlindBlendAS,28132.29590129,187.54863934
132,BaselineAS,29260.71772350,195.07145149
132,ElitistAS,29252.66844450,195.01778963
132,MaxMinAS,28217.27096736,188.11513978
133,BlindBlendAS,29151.18487982,194.34123253
133,BaselineAS,30681.00683660,204.54004558
133,ElitistAS,30538.57993811,203.59053292
133,MaxMinAS,29536.89336186,196.91262241
134,BlindBlendAS,27818.02819313,185.45352129
134,BaselineAS,29688.30818216,197.92205455
134,ElitistAS,29624.62571448,197.49750476
134,MaxMinAS,27875.29918557,185.83532790
135,BlindBlendAS,28202.27232982,188.01514887
135,BaselineAS,28852.58767255,192.35058448
135,ElitistAS,28983.88167268,193.22587782
135,MaxMinAS,28089.90358887,187.26602393
136,BlindBlendAS,28959.77482505,193.06516550
136,BaselineAS,30089.87239176,200.59914928
136,ElitistAS,30013.10083281,200.08733889
136,MaxMinAS,28597.30151314,190.64867675
137,BlindBlendAS,27762.24203505,185.08161357
137,BaselineAS,28505.93142450,190.03954283
137,ElitistAS,28547.53847203,190.31692315
137,MaxMinAS,27822.25551205,185.48170341
138,BlindBlendAS,27805.39462949,185.36929753
138,BaselineAS,29620.15270924,197.46768473
138,ElitistAS,29374.78858486,195.83192390
138,MaxMinAS,28034.96068621,186.89973791
139,BlindBlendAS,29159.71858639,194.39812391
139,BaselineAS,30164.40678053,201.09604520
139,ElitistAS,30233.50480190,201.55669868
139,MaxMinAS,29087.64902488,193.91766017
140,BlindBlendAS,28106.01392565,187.37342617
140,BaselineAS,28776.94084457,191.84627230
140,ElitistAS,28812.21099148,192.08140661
140,MaxMinAS,28150.44607821,187.66964052
141,BlindBlendAS,26941.67003177,179.61113355
141,BaselineAS,27922.92858961,186.15285726
141,ElitistAS,27668.46528497,184.45643523
141,MaxMinAS,27337.80950594,182.25206337
142,BlindBlendAS,28607.31226800,190.71541512
142,BaselineAS,30186.12731582,201.24084877
142,ElitistAS,30341.57269875,202.27715133
142,MaxMinAS,28937.81526645,192.91876844
143,BlindBlendAS,27112.17828962,180.74785526
143,BaselineAS,28261.59515173,188.41063434
143,ElitistAS,28251.40456635,188.34269711
143,MaxMinAS,27109.62105219,180.73080701
144,BlindBlendAS,28802.01991049,192.01346607
144,BaselineAS,30054.00972842,200.36006486
144,ElitistAS,30452.66777626,203.01778518
144,MaxMinAS,28929.06559679,192.86043731
145,BlindBlendAS,28615.10754053,190.76738360
145,BaselineAS,29779.96885482,198.53312570
145,ElitistAS,29263.53570092,195.09023801
145,MaxMinAS,28479.01377406,189.86009183
146,BlindBlendAS,29337.66519598,195.58443464
146,BaselineAS,30433.67484689,202.89116565
146,ElitistAS,30523.17997228,203.48786648
146,MaxMinAS,29441.17449481,196.27449663
147,BlindBlendAS,28805.31695660,192.03544638
147,BaselineAS,30564.03275273,203.76021835
147,ElitistAS,30112.56637732,200.75044252
147,MaxMinAS,29109.19386212,194.06129241
148,BlindBlendAS,28450.35894633,189.66905964
148,BaselineAS,29196.72232627,194.64481551
148,ElitistAS,29374.42454486,195.82949697
148,MaxMinAS,28226.97536654,188.17983578
149,BlindBlendAS,28148.30872273,187.65539148
149,BaselineAS,29667.67181248,197.78447875
149,ElitistAS,29097.47025949,193.98313506
149,MaxMinAS,28550.82435569,190.33882904
150,BlindBlendAS,26924.61231349,179.49741542
150,BaselineAS,28173.76723934,187.82511493
150,ElitistAS,28178.97177480,187.85981183
150,MaxMinAS,26846.96024558,178.97973497
151,BlindBlendAS,28511.26292662,190.07508618
151,BaselineAS,30523.46549543,203.48976997
151,ElitistAS,29962.36478295,199.74909855
151,MaxMinAS,28867.48548038,192.44990320
152,BlindBlendAS,27335.41769528,182.23611797
152,BaselineAS,28513.75584351,190.09170562
152,ElitistAS,28114.36324893,187.42908833
152,MaxMinAS,27723.76478276,184.82509855
153,BlindBlendAS,27427.31740790,182.84878272
153,BaselineAS,28576.31230997,190.50874873
153,ElitistAS,28642.26808791,190.94845392
153,MaxMinAS,27561.05845921,183.74038973
154,BlindBlendAS,28836.52463175,192.24349755
154,BaselineAS,29364.51046722,195.76340311
154,ElitistAS,29830.51942033,198.87012947
154,MaxMinAS,28716.17229794,191.44114865
155,BlindBlendAS,28220.99360624,188.13995737
155,BaselineAS,29070.17719718,193.80118131
155,ElitistAS,29429.60843552,196.19738957
155,MaxMinAS,28922.86357063,192.81909047
156,BlindBlendAS,27914.47078818,186.09647192
156,BaselineAS,29444.03699079,196.29357994
156,ElitistAS,29301.13582521,195.34090550
156,MaxMinAS,28194.75524566,187.96503497
157,BlindBlendAS,29266.73349977,195.11155667
157,BaselineAS,30432.84594191,202.88563961
157,ElitistAS,30036.74106609,200.24494044
157,MaxMinAS,29311.59690785,195.41064605
158,BlindBlendAS,28004.42124946,186.69614166
158,BaselineAS,29786.28428575,198.57522857
158,ElitistAS,29359.02854683,195.72685698
158,MaxMinAS,27992.19106961,186.61460713
159,BlindBlendAS,28239.59560989,188.26397073
159,BaselineAS,29237.81651077,194.91877674
159,ElitistAS,29640.12925334,197.60086169
159,MaxMinAS,28593.56795136,190.62378634
160,BlindBlendAS,27433.86373291,182.89242489
160,BaselineAS,29082.55690105,193.88371267
160,ElitistAS,28695.38779732,191.30258532
160,MaxMinAS,27912.78349155,186.08522328
161,BlindBlendAS,28334.30600452,188.89537336
161,BaselineAS,29174.03468764,194.49356458
161,ElitistAS,28994.72471901,193.29816479
161,MaxMinAS,28140.17791271,187.60118608
162,BlindBlendAS,28739.00396244,191.59335975
162,BaselineAS,29888.76656545,199.25844377
162,ElitistAS,30173.11831067,201.15412207
162,MaxMinAS,28546.29082154,190.30860548
163,BlindBlendAS,29561.00376651,197.07335844
163,BaselineAS,31146.85151915,207.64567679
163,ElitistAS,30514.67880440,203.43119203
163,MaxMinAS,30025.46918670,200.16979458
164,BlindBlendAS,29506.94252925,196.71295020
164,BaselineAS,31080.72061012,207.20480407
164,ElitistAS,30645.88172319,204.30587815
164,MaxMinAS,29960.29317120,199.73528781
165,BlindBlendAS,28175.43405873,187.83622706
165,BaselineAS,29150.41343443,194.33608956
165,ElitistAS,29270.46560794,195.13643739
165,MaxMinAS,28102.08032961,187.34720220
166,BlindBlendAS,29352.18477324,195.68123182
166,BaselineAS,30459.50124662,203.06334164
166,ElitistAS,30176.35092184,201.17567281
166,MaxMinAS,28917.41625132,192.78277501
167,BlindBlendAS,28284.75349006,188.56502327
167,BaselineAS,29633.24314760,197.55495432
167,ElitistAS,29190.13647748,194.60090985
167,MaxMinAS,28383.04428456,189.22029523
168,BlindBlendAS,28348.80463182,188.99203088
168,BaselineAS,28763.86850840,191.75912339
168,ElitistAS,28998.69945772,193.32466305
168,MaxMinAS,28617.62743870,190.78418292
169,BlindBlendAS,27940.89189332,186.27261262
169,BaselineAS,29192.52684029,194.61684560
169,ElitistAS,29082.89601369,193.88597342
169,MaxMinAS,28045.39087594,186.96927251
170,BlindBlendAS,27748.73805767,184.99158705
170,BaselineAS,28680.09500141,191.20063334
170,ElitistAS,28626.93155971,190.84621040
170,MaxMinAS,27900.01134134,186.00007561
171,BlindBlendAS,28955.67739850,193.03784932
171,BaselineAS,30356.57500964,202.37716673
171,ElitistAS,30364.45390338,202.42969269
171,MaxMinAS,29243.10389630,194.95402598
172,BlindBlendAS,29405.04157901,196.03361053
172,BaselineAS,30769.28864624,205.12859097
172,ElitistAS,30724.45775123,204.82971834
172,MaxMinAS,29574.12633362,197.16084222
173,BlindBlendAS,30188.59760603,201.25731737
173,BaselineAS,31715.68769920,211.43791799
173,ElitistAS,31900.54942975,212.67032953
173,MaxMinAS,30570.60036782,203.80400245
174,BlindBlendAS,29112.61084707,194.08407231
174,BaselineAS,29672.67257552,197.81781717
174,ElitistAS,30363.21859533,202.42145730
174,MaxMinAS,29044.85696823,193.63237979
175,BlindBlendAS,28846.81418830,192.31209459
175,BaselineAS,29430.08221062,196.20054807
175,ElitistAS,29235.35081432,194.90233876
175,MaxMinAS,28905.38114933,192.70254100
176,BlindBlendAS,29018.57219653,193.45714798
176,BaselineAS,30018.00674943,200.12004500
176,ElitistAS,29982.39327802,199.88262185
176,MaxMinAS,29472.14065435,196.48093770
177,BlindBlendAS,29363.76741159,195.75844941
177,BaselineAS,30118.64074603,200.79093831
177,ElitistAS,30260.59686825,201.73731245
177,MaxMinAS,29273.46466353,195.15643109
178,BlindBlendAS,27574.57437162,183.83049581
178,BaselineAS,28925.33388903,192.83555926
178,ElitistAS,29019.78523219,193.46523488
178,MaxMinAS,27883.84050513,185.89227003
179,BlindBlendAS,28448.33834946,189.65558900
179,BaselineAS,30123.24401097,200.82162674
179,ElitistAS,29772.53670207,198.48357801
179,MaxMinAS,28592.26686885,190.61511246
180,BlindBlendAS,27528.05768110,183.52038454
180,BaselineAS,29399.39263318,195.99595089
180,ElitistAS,29392.76277246,195.95175182
180,MaxMinAS,28075.83773316,187.17225155
181,BlindBlendAS,28030.45100306,186.86967335
181,BaselineAS,28884.10045162,192.56066968
181,ElitistAS,28755.82088214,191.70547255
181,MaxMinAS,28508.31614027,190.05544094
182,BlindBlendAS,28277.84328750,188.51895525
182,BaselineAS,29064.13422182,193.76089481
182,ElitistAS,29168.20556269,194.45470375
182,MaxMinAS,28173.00304157,187.82002028
183,BlindBlendAS,28069.30599426,187.12870663
183,BaselineAS,29242.97117565,194.95314117
183,ElitistAS,29319.42621177,195.46284141
183,MaxMinAS,28497.71858517,189.98479057
184,BlindBlendAS,28411.63788668,189.41091924
184,BaselineAS,29904.96267143,199.36641781
184,ElitistAS,29653.71271325,197.69141809
184,MaxMinAS,28914.36887130,192.76245914
185,BlindBlendAS,28242.44022310,188.28293482
185,BaselineAS,29771.52617882,198.47684119
185,ElitistAS,29531.86910996,196.87912740
185,MaxMinAS,28274.39784043,188.49598560
186,BlindBlendAS,27810.80004201,185.40533361
186,BaselineAS,28465.36877462,189.76912516
186,ElitistAS,28511.95442603,190.07969617
186,MaxMinAS,28088.80687011,187.25871247
187,BlindBlendAS,27814.10708594,185.42738057
187,BaselineAS,29557.19697213,197.04797981
187,ElitistAS,29389.51805213,195.93012035
187,MaxMinAS,28124.68883420,187.49792556
188,BlindBlendAS,28910.80824205,192.73872161
188,BaselineAS,30221.97009932,201.47980066
188,ElitistAS,29951.57710852,199.67718072
188,MaxMinAS,28899.04138845,192.66027592
189,BlindBlendAS,27920.87074449,186.13913830
189,BaselineAS,29693.90397672,197.95935984
189,ElitistAS,29347.34426407,195.64896176
189,MaxMinAS,28259.89520063,188.39930134
190,BlindBlendAS,28530.09312454,190.20062083
190,BaselineAS,30048.47413906,200.32316093
190,ElitistAS,29568.14213665,197.12094758
190,MaxMinAS,28701.06083463,191.34040556
191,BlindBlendAS,29255.32745433,195.03551636
