run_id,n_cities,algorithm,iteration,iteration_best_distance,global_best_distance
100,100,BlindBlendAS,1,25634.88851575,25634.88851575
100,100,BlindBlendAS,2,24610.07970639,24610.07970639
100,100,BlindBlendAS,3,23163.62266748,23163.62266748
100,100,BlindBlendAS,4,23164.18430641,23163.62266748
100,100,BlindBlendAS,5,21177.22291402,21177.22291402
100,100,BlindBlendAS,6,19968.33689802,19968.33689802
100,100,BlindBlendAS,7,19562.48898423,19562.48898423
100,100,BlindBlendAS,8,18712.68769784,18712.68769784
100,100,BlindBlendAS,9,18633.60721322,18633.60721322
100,100,BlindBlendAS,10,18744.68002743,18633.60721322
100,100,BlindBlendAS,11,18386.69060153,18386.69060153
100,100,BlindBlendAS,12,18019.58830834,18019.58830834
100,100,BlindBlendAS,13,17920.65030777,17920.65030777
100,100,BlindBlendAS,14,17417.13075483,17417.13075483
100,100,BlindBlendAS,15,17241.47893589,17241.47893589
100,100,BlindBlendAS,16,17183.64663148,17183.64663148
100,100,BlindBlendAS,17,17011.80781981,17011.80781981
100,100,BlindBlendAS,18,16939.50545115,16939.50545115
100,100,BlindBlendAS,19,16776.74033979,16776.74033979
100,100,BlindBlendAS,20,16767.44232749,16767.44232749
100,100,BlindBlendAS,21,16605.71612079,16605.71612079
100,100,BlindBlendAS,22,16605.71612079,16605.71612079
100,100,BlindBlendAS,23,16392.66609455,16392.66609455
100,100,BlindBlendAS,24,16222.45574921,16222.45574921
100,100,BlindBlendAS,25,16222.45574921,16222.45574921
100,100,BlindBlendAS,26,16222.45574921,16222.45574921
100,100,BlindBlendAS,27,16222.45574921,16222.45574921
100,100,BlindBlendAS,28,16222.45574921,16222.45574921
100,100,BlindBlendAS,29,16222.45574921,16222.45574921
100,100,BlindBlendAS,30,16128.76671694,16128.76671694
100,100,BlindBlendAS,31,16104.69472156,16104.69472156
100,100,BlindBlendAS,32,16100.48802764,16100.48802764
100,100,BlindBlendAS,33,16076.41603227,16076.41603227
100,100,BlindBlendAS,34,16076.41603227,16076.41603227
100,100,BlindBlendAS,35,16076.41603227,16076.41603227
100,100,BlindBlendAS,36,16048.59807272,16048.59807272
100,100,BlindBlendAS,37,16048.59807272,16048.59807272
100,100,BlindBlendAS,38,16048.59807272,16048.59807272
100,100,BlindBlendAS,39,16048.59807272,16048.59807272
100,100,BlindBlendAS,40,16048.59807272,16048.59807272
100,100,BlindBlendAS,41,16048.59807272,16048.59807272
100,100,BlindBlendAS,42,16048.59807272,16048.59807272
100,100,BlindBlendAS,43,16048.59807272,16048.59807272
100,100,BlindBlendAS,44,16048.59807272,16048.59807272
100,100,BlindBlendAS,45,16038.10931428,16038.10931428
100,100,BlindBlendAS,46,16038.10931428,16038.10931428
100,100,BlindBlendAS,47,16038.10931428,16038.10931428
100,100,BlindBlendAS,48,16038.10931428,16038.10931428
100,100,BlindBlendAS,49,16021.95934092,16021.95934092
100,100,BlindBlendAS,50,16021.95934092,16021.95934092
100,100,BlindBlendAS,51,16021.95934092,16021.95934092
100,100,BlindBlendAS,52,16021.95934092,16021.95934092
100,100,BlindBlendAS,53,16021.95934092,16021.95934092
100,100,BlindBlendAS,54,16021.95934092,16021.95934092
100,100,BlindBlendAS,55,16021.95934092,16021.95934092
100,100,BlindBlendAS,56,16021.95934092,16021.95934092
100,100,BlindBlendAS,57,16021.95934092,16021.95934092
100,100,BlindBlendAS,58,16021.95934092,16021.95934092
100,100,BlindBlendAS,59,16021.95934092,16021.95934092
100,100,BlindBlendAS,60,16021.95934092,16021.95934092
100,100,BlindBlendAS,61,16021.95934092,16021.95934092
100,100,BlindBlendAS,62,16021.95934092,16021.95934092
100,100,BlindBlendAS,63,16021.95934092,16021.95934092
100,100,BlindBlendAS,64,16021.95934092,16021.95934092
100,100,BlindBlendAS,65,16021.95934092,16021.95934092
100,100,BlindBlendAS,66,16021.95934092,16021.95934092
100,100,BlindBlendAS,67,16021.95934092,16021.95934092
100,100,BlindBlendAS,68,16021.95934092,16021.95934092
100,100,BlindBlendAS,69,16003.87705126,16003.87705126
100,100,BlindBlendAS,70,16003.87705126,16003.87705126
100,100,BlindBlendAS,71,16003.87705126,16003.87705126
100,100,BlindBlendAS,72,16003.87705126,16003.87705126
100,100,BlindBlendAS,73,16003.87705126,16003.87705126
100,100,BlindBlendAS,74,16003.87705126,16003.87705126
100,100,BlindBlendAS,75,16003.87705126,16003.87705126
100,100,BlindBlendAS,76,16003.87705126,16003.87705126
100,100,BlindBlendAS,77,16003.87705126,16003.87705126
100,100,BlindBlendAS,78,16003.87705126,16003.87705126
100,100,BlindBlendAS,79,16003.87705126,16003.87705126
100,100,BlindBlendAS,80,16003.87705126,16003.87705126
100,100,BlindBlendAS,81,16003.87705126,16003.87705126
100,100,BlindBlendAS,82,16003.87705126,16003.87705126
100,100,BlindBlendAS,83,16003.87705126,16003.87705126
100,100,BlindBlendAS,84,16003.87705126,16003.87705126
100,100,BlindBlendAS,85,16003.87705126,16003.87705126
100,100,BlindBlendAS,86,16003.87705126,16003.87705126
100,100,BlindBlendAS,87,16003.87705126,16003.87705126
100,100,BlindBlendAS,88,16003.87705126,16003.87705126
100,100,BlindBlendAS,89,16003.87705126,16003.87705126
100,100,BlindBlendAS,90,16003.87705126,16003.87705126
100,100,BlindBlendAS,91,16003.87705126,16003.87705126
100,100,BlindBlendAS,92,16003.87705126,16003.87705126
100,100,BlindBlendAS,93,16003.87705126,16003.87705126
100,100,BlindBlendAS,94,16003.87705126,16003.87705126
100,100,BlindBlendAS,95,16003.87705126,16003.87705126
100,100,BlindBlendAS,96,16003.87705126,16003.87705126
100,100,BlindBlendAS,97,16003.87705126,16003.87705126
100,100,BlindBlendAS,98,16003.87705126,16003.87705126
100,100,BlindBlendAS,99,16003.87705126,16003.87705126
100,100,BlindBlendAS,100,16003.87705126,16003.87705126
100,100,BlindBlendAS,101,16003.87705126,16003.87705126
100,100,BlindBlendAS,102,16003.87705126,16003.87705126
100,100,BlindBlendAS,103,17103.99204343,16003.87705126
100,100,BlindBlendAS,104,16813.60567643,16003.87705126
100,100,BlindBlendAS,105,17841.87919973,16003.87705126
100,100,BlindBlendAS,106,17631.48661593,16003.87705126
100,100,BlindBlendAS,107,16661.56728060,16003.87705126
100,100,BlindBlendAS,108,16712.07542306,16003.87705126
