source_file,algorithm,display_algorithm,metric,runs,mean,stddev,standard_error,confidence_level,t_value,ci_half_width,ci_lower,ci_upper,best,worst
detail_nc_all100.csv,BaselineAS,BaselineACO,best_distance,101,16363.95630915,550.16978696,54.74393990,0.95000000,1.98400000,108.61197675,16255.34433240,16472.56828590,15372.71512847,18322.04401144
detail_nc_all100.csv,BaselineAS,BaselineACO,distance_per_city,101,163.63956309,5.50169787,0.54743940,0.95000000,1.98400000,1.08611977,162.55344332,164.72568286,153.72715128,183.22044011
detail_nc_all100.csv,BlindBlendAS,BlindBlendACO,best_distance,101,15825.61846808,484.86813111,48.24618228,0.95000000,1.98400000,95.72042564,15729.89804244,15921.33889373,14740.98674548,17185.05106620
detail_nc_all100.csv,BlindBlendAS,BlindBlendACO,distance_per_city,101,158.25618468,4.84868131,0.48246182,0.95000000,1.98400000,0.95720426,157.29898042,159.21338894,147.40986745,171.85051066
detail_nc_all100.csv,ElitistAS,ElitistACO,best_distance,101,16182.01563873,566.79810737,56.39851962,0.95000000,1.98400000,111.89466292,16070.12097581,16293.91030165,14925.83505884,18081.58448227
detail_nc_all100.csv,ElitistAS,ElitistACO,distance_per_city,101,161.82015639,5.66798107,0.56398520,0.95000000,1.98400000,1.11894663,160.70120976,162.93910302,149.25835059,180.81584482
detail_nc_all100.csv,MaxMinAS,MaxMinACO,best_distance,101,15972.65966625,496.76628360,49.43009270,0.95000000,1.98400000,98.06930392,15874.59036233,16070.72897017,14653.57367785,17322.65008248
detail_nc_all100.csv,MaxMinAS,MaxMinACO,distance_per_city,101,159.72659666,4.96766284,0.49430093,0.95000000,1.98400000,0.98069304,158.74590362,160.70728970,146.53573678,173.22650082
detail_nc_all200.csv,BaselineAS,BaselineACO,best_distance,101,47534.25103875,1247.37443902,124.11839569,0.95000000,1.98400000,246.25089706,47288.00014169,47780.50193581,44768.04754276,50783.12601502
detail_nc_all200.csv,BaselineAS,BaselineACO,distance_per_city,101,237.67125519,6.23687220,0.62059198,0.95000000,1.98400000,1.23125449,236.44000071,238.90250968,223.84023771,253.91563008
detail_nc_all200.csv,BlindBlendAS,BlindBlendACO,best_distance,101,44812.17281763,1060.58795728,105.53244610,0.95000000,1.98400000,209.37637306,44602.79644457,45021.54919069,42170.39550035,47218.40450647
detail_nc_all200.csv,BlindBlendAS,BlindBlendACO,distance_per_city,101,224.06086409,5.30293979,0.52766223,0.95000000,1.98400000,1.04688187,223.01398222,225.10774595,210.85197750,236.09202253
detail_nc_all200.csv,ElitistAS,ElitistACO,best_distance,101,47056.31922438,1424.29535427,141.72268473,0.95000000,1.98400000,281.17780651,46775.14141787,47337.49703089,42375.61979992,50459.88718119
detail_nc_all200.csv,ElitistAS,ElitistACO,distance_per_city,101,235.28159612,7.12147677,0.70861342,0.95000000,1.98400000,1.40588903,233.87570709,236.68748515,211.87809900,252.29943591
detail_nc_all200.csv,MaxMinAS,MaxMinACO,best_distance,101,45659.68202471,1125.39569020,111.98105655,0.95000000,1.98400000,222.17041619,45437.51160852,45881.85244089,42821.22526538,48573.69572453
detail_nc_all200.csv,MaxMinAS,MaxMinACO,distance_per_city,101,228.29841012,5.62697845,0.55990528,0.95000000,1.98400000,1.11085208,227.18755804,229.40926220,214.10612633,242.86847862
detail_wc_all100.csv,BaselineAS,BaselineACO,best_distance,101,16009.59142318,506.94957083,50.44336765,0.95000000,1.98400000,100.07964143,15909.51178176,16109.67106461,14818.26326797,17516.40706636
detail_wc_all100.csv,BaselineAS,BaselineACO,distance_per_city,101,160.09591423,5.06949571,0.50443368,0.95000000,1.98400000,1.00079641,159.09511782,161.09671065,148.18263268,175.16407066
detail_wc_all100.csv,BlindBlendAS,BlindBlendACO,best_distance,101,15622.51898011,450.88802613,44.86503546,0.95000000,1.98400000,89.01223036,15533.50674975,15711.53121046,14627.39021451,17053.24601096
