n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,16003.87705126,160.03877051
100,BaselineAS,16110.00351473,161.10003515
100,ElitistAS,15999.76229235,159.99762292
100,MaxMinAS,15504.71263950,155.04712639
101,BlindBlendAS,15858.59164147,157.01575883
101,BaselineAS,16186.82092721,160.26555373
101,ElitistAS,16463.77632696,163.00768641
101,MaxMinAS,16094.09895295,159.34751439
102,BlindBlendAS,16508.39157933,161.84697627
102,BaselineAS,17789.20065497,174.40392799
102,ElitistAS,17275.74493712,169.37004840
102,MaxMinAS,16889.98022825,165.58804145
103,BlindBlendAS,16623.82267501,161.39633665
103,BaselineAS,17373.54741480,168.67521762
103,ElitistAS,17253.15066175,167.50631710
103,MaxMinAS,16509.51543039,160.28655758
104,BlindBlendAS,17039.14109042,163.83789510
104,BaselineAS,17819.44823048,171.34084837
104,ElitistAS,17616.09167071,169.38549683
104,MaxMinAS,17329.94344490,166.63407159
105,BlindBlendAS,16797.26904884,159.97399094
105,BaselineAS,17313.64967600,164.89190168
105,ElitistAS,17226.39525547,164.06090719
105,MaxMinAS,16864.42434514,160.61356519
106,BlindBlendAS,18017.23492146,169.97391435
106,BaselineAS,18322.96301778,172.85814168
106,ElitistAS,18354.01455422,173.15108070
106,MaxMinAS,17958.63629383,169.42109711
107,BlindBlendAS,17915.61264751,167.43563222
107,BaselineAS,18296.87203390,170.99880406
107,ElitistAS,18178.25250607,169.89021034
107,MaxMinAS,17758.12647689,165.96379885
108,BlindBlendAS,17116.31338118,158.48438316
108,BaselineAS,17666.24507400,163.57634328
108,ElitistAS,17382.28109928,160.94704722
108,MaxMinAS,17484.51706357,161.89367651
109,BlindBlendAS,17940.08014716,164.58789126
109,BaselineAS,18448.51331096,169.25241570
109,ElitistAS,18182.83395824,166.81499044
109,MaxMinAS,17833.60615035,163.61106560
110,BlindBlendAS,18348.43694595,166.80397224
110,BaselineAS,18679.16486596,169.81058969
110,ElitistAS,18196.60726119,165.42370237
110,MaxMinAS,18369.45330348,166.99503003
111,BlindBlendAS,17874.97536830,161.03581413
111,BaselineAS,19028.91286845,171.43164746
111,ElitistAS,18582.74007848,167.41207278
111,MaxMinAS,18440.60315849,166.13155999
112,BlindBlendAS,19743.68460308,176.28289824
112,BaselineAS,20175.55822577,180.13891273
112,ElitistAS,20310.57879345,181.34445351
112,MaxMinAS,19662.75332624,175.56029756
113,BlindBlendAS,18683.51726085,165.34086072
113,BaselineAS,19744.39786885,174.72918468
113,ElitistAS,19428.90432660,171.93720643
113,MaxMinAS,18637.83654860,164.93660662
114,BlindBlendAS,18770.31436562,164.65188040
114,BaselineAS,19144.29642563,167.93242479
114,ElitistAS,18886.36490102,165.66986755
114,MaxMinAS,19802.81557201,173.70890853
115,BlindBlendAS,19852.07025421,172.62669786
115,BaselineAS,20604.53328033,179.16985461
