n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,61397.36887945,245.58947552
100,BaselineAS,67307.05572771,269.22822291
100,ElitistAS,64922.90530817,259.69162123
100,MaxMinAS,64633.97439787,258.53589759
101,BlindBlendAS,64765.29794326,259.06119177
101,BaselineAS,67031.05397302,268.12421589
101,ElitistAS,67018.70695990,268.07482784
101,MaxMinAS,65294.16191123,261.17664764
102,BlindBlendAS,64844.84553089,259.37938212
102,BaselineAS,70719.91639118,282.87966556
102,ElitistAS,69306.83886606,277.22735546
102,MaxMinAS,64707.80519389,258.83122078
103,BlindBlendAS,64045.62867512,256.18251470
103,BaselineAS,66854.39564499,267.41758258
103,ElitistAS,66366.75760686,265.46703043
103,MaxMinAS,64824.54989424,259.29819958
104,BlindBlendAS,60887.89320336,243.55157281
104,BaselineAS,65299.57515235,261.19830061
104,ElitistAS,65469.54206950,261.87816828
104,MaxMinAS,61396.83363297,245.58733453
105,BlindBlendAS,61262.71775243,245.05087101
105,BaselineAS,64614.97801216,258.45991205
105,ElitistAS,62509.51387066,250.03805548
105,MaxMinAS,63472.08379169,253.88833517
106,BlindBlendAS,61056.98966689,244.22795867
106,BaselineAS,67099.81640898,268.39926564
106,ElitistAS,66834.73269219,267.33893077
106,MaxMinAS,63375.22852501,253.50091410
107,BlindBlendAS,63283.82159146,253.13528637
107,BaselineAS,68393.24660640,273.57298643
107,ElitistAS,65169.46568219,260.67786273
107,MaxMinAS,63886.96788327,255.54787153
108,BlindBlendAS,62863.84959636,251.45539839
108,BaselineAS,64285.00589258,257.14002357
108,ElitistAS,63648.88056679,254.59552227
108,MaxMinAS,63811.75358237,255.24701433
109,BlindBlendAS,62374.21101822,249.49684407
109,BaselineAS,67098.35257959,268.39341032
109,ElitistAS,67874.93057162,271.49972229
109,MaxMinAS,65217.67096264,260.87068385
110,BlindBlendAS,62824.30729539,251.29722918
110,BaselineAS,64004.48008461,256.01792034
110,ElitistAS,63174.66995022,252.69867980
110,MaxMinAS,62136.12820730,248.54451283
111,BlindBlendAS,62584.02920058,250.33611680
111,BaselineAS,64162.21908347,256.64887633
111,ElitistAS,63539.97457700,254.15989831
111,MaxMinAS,64757.50295981,259.03001184
112,BlindBlendAS,64767.93792784,259.07175171
112,BaselineAS,66597.24958189,266.38899833
112,ElitistAS,66208.02439510,264.83209758
112,MaxMinAS,64735.09708243,258.94038833
113,BlindBlendAS,64831.17489366,259.32469957
113,BaselineAS,67985.63832504,271.94255330
113,ElitistAS,68013.31067639,272.05324271
113,MaxMinAS,65222.12427358,260.88849709
114,BlindBlendAS,63008.06797341,252.03227189
114,BaselineAS,66292.72006204,265.17088025
114,ElitistAS,65367.80412579,261.47121650
114,MaxMinAS,63394.67937902,253.57871752
115,BlindBlendAS,62539.41112743,250.15764451
115,BaselineAS,67213.68866639,268.85475467
115,ElitistAS,66986.46321827,267.94585287
115,MaxMinAS,62412.25927661,249.64903711
116,BlindBlendAS,62371.55159900,249.48620640
116,BaselineAS,67647.67352895,270.59069412
116,ElitistAS,67923.55368550,271.69421474
116,MaxMinAS,63436.43299402,253.74573198
117,BlindBlendAS,61854.64319749,247.41857279
117,BaselineAS,67007.72595121,268.03090380
117,ElitistAS,66499.03250987,265.99613004
117,MaxMinAS,62596.08821241,250.38435285
118,BlindBlendAS,62024.73418423,248.09893674
118,BaselineAS,64950.49132996,259.80196532
118,ElitistAS,62951.26242497,251.80504970
118,MaxMinAS,62943.69108300,251.77476433
119,BlindBlendAS,63255.55528123,253.02222112
119,BaselineAS,66694.87650683,266.77950603
119,ElitistAS,65910.17700433,263.64070802
119,MaxMinAS,64469.34877052,257.87739508
120,BlindBlendAS,61786.91522866,247.14766091
120,BaselineAS,67879.46906325,271.51787625
120,ElitistAS,67984.42888446,271.93771554
120,MaxMinAS,64447.15077359,257.78860309
121,BlindBlendAS,61293.73588848,245.17494355
121,BaselineAS,64672.28099987,258.68912400
121,ElitistAS,63281.95397838,253.12781591
121,MaxMinAS,61355.47497149,245.42189989
122,BlindBlendAS,64482.00505670,257.92802023
122,BaselineAS,66556.36704073,266.22546816
122,ElitistAS,67519.24917815,270.07699671
122,MaxMinAS,64946.50763558,259.78603054
123,BlindBlendAS,63261.17325996,253.04469304
123,BaselineAS,68563.82061635,274.25528247
123,ElitistAS,67601.54502959,270.40618012
123,MaxMinAS,64863.72337696,259.45489351
124,BlindBlendAS,63903.23340716,255.61293363
124,BaselineAS,70277.66824296,281.11067297
124,ElitistAS,70665.97651258,282.66390605
124,MaxMinAS,67709.97519368,270.83990077
125,BlindBlendAS,61978.17700917,247.91270804
125,BaselineAS,63778.78486540,255.11513946
125,ElitistAS,65127.13769204,260.50855077
125,MaxMinAS,61828.56078235,247.31424313
126,BlindBlendAS,60460.50648631,241.84202595
126,BaselineAS,66190.58621197,264.76234485
126,ElitistAS,64475.23562081,257.90094248
126,MaxMinAS,62648.39497484,250.59357990
127,BlindBlendAS,63355.25037959,253.42100152
127,BaselineAS,67641.66737140,270.56666949
127,ElitistAS,66562.43082093,266.24972328
127,MaxMinAS,63726.24585750,254.90498343
128,BlindBlendAS,62027.36381042,248.10945524
128,BaselineAS,65592.43088614,262.36972354
128,ElitistAS,65641.03983670,262.56415935
128,MaxMinAS,63576.97184403,254.30788738
129,BlindBlendAS,64515.69552650,258.06278211
129,BaselineAS,67328.88176607,269.31552706
129,ElitistAS,67137.63369031,268.55053476
129,MaxMinAS,65820.20764901,263.28083060
130,BlindBlendAS,60146.54088120,240.58616352
130,BaselineAS,64835.82976985,259.34331908
130,ElitistAS,64858.35211134,259.43340845
130,MaxMinAS,61148.38582026,244.59354328
131,BlindBlendAS,63318.05842004,253.27223368
131,BaselineAS,69683.93326706,278.73573307
131,ElitistAS,68703.99181361,274.81596725
131,MaxMinAS,65730.85986809,262.92343947
132,BlindBlendAS,63748.49457343,254.99397829
132,BaselineAS,66665.97467707,266.66389871
132,ElitistAS,64611.52725441,258.44610902
132,MaxMinAS,66366.57126543,265.46628506
133,BlindBlendAS,63888.42552879,255.55370212
133,BaselineAS,68794.63283564,275.17853134
133,ElitistAS,68866.91154260,275.46764617
133,MaxMinAS,67396.08404239,269.58433617
134,BlindBlendAS,64038.72630777,256.15490523
134,BaselineAS,68175.14718474,272.70058874
134,ElitistAS,68585.43795738,274.34175183
134,MaxMinAS,69034.66984089,276.13867936
135,BlindBlendAS,62128.31187763,248.51324751
135,BaselineAS,65278.87767706,261.11551071
135,ElitistAS,63605.37588207,254.42150353
135,MaxMinAS,63569.38786335,254.27755145
136,BlindBlendAS,61662.73771865,246.65095087
136,BaselineAS,62733.03616782,250.93214467
136,ElitistAS,63962.89943777,255.85159775
136,MaxMinAS,63266.66032668,253.06664131
137,BlindBlendAS,62664.64266720,250.65857067
137,BaselineAS,68132.23934105,272.52895736
137,ElitistAS,66809.29117872,267.23716471
137,MaxMinAS,63487.47422183,253.94989689
138,BlindBlendAS,62804.99248222,251.21996993
138,BaselineAS,67593.73573929,270.37494296
138,ElitistAS,69318.54261917,277.27417048
138,MaxMinAS,67507.33188185,270.02932753
139,BlindBlendAS,65061.09989339,260.24439957
139,BaselineAS,69281.58807636,277.12635231
139,ElitistAS,70371.65396495,281.48661586
139,MaxMinAS,67191.24698564,268.76498794
140,BlindBlendAS,64852.68459373,259.41073837
140,BaselineAS,67584.03797003,270.33615188
140,ElitistAS,66468.75742932,265.87502972
140,MaxMinAS,65330.87494728,261.32349979
141,BlindBlendAS,66018.74952506,264.07499810
141,BaselineAS,68071.04222395,272.28416890
141,ElitistAS,69051.87613410,276.20750454
141,MaxMinAS,68098.01237817,272.39204951
142,BlindBlendAS,63088.15534305,252.35262137
142,BaselineAS,67973.93538910,271.89574156
142,ElitistAS,67870.61072192,271.48244289
142,MaxMinAS,66499.54792480,265.99819170
143,BlindBlendAS,63310.64057302,253.24256229
143,BaselineAS,66868.64743804,267.47458975
143,ElitistAS,64486.56241708,257.94624967
143,MaxMinAS,61770.02050241,247.08008201
144,BlindBlendAS,62227.45944579,248.90983778
144,BaselineAS,65454.36651522,261.81746606
144,ElitistAS,63857.72336253,255.43089345
144,MaxMinAS,63938.69746908,255.75478988
145,BlindBlendAS,63064.87082642,252.25948331
145,BaselineAS,65879.62442980,263.51849772
145,ElitistAS,65299.47128195,261.19788513
145,MaxMinAS,62263.57962016,249.05431848
146,BlindBlendAS,63034.87642345,252.13950569
146,BaselineAS,67150.65621605,268.60262486
146,ElitistAS,67444.04915075,269.77619660
146,MaxMinAS,65469.66769807,261.87867079
147,BlindBlendAS,63052.58727115,252.21034908
147,BaselineAS,67983.46133476,271.93384534
147,ElitistAS,68387.63371128,273.55053485
147,MaxMinAS,64583.86125158,258.33544501
148,BlindBlendAS,64294.12779603,257.17651118
148,BaselineAS,67463.57641713,269.85430567
148,ElitistAS,66713.76962706,266.85507851
148,MaxMinAS,65444.93052001,261.77972208
149,BlindBlendAS,63093.65407887,252.37461632
149,BaselineAS,68225.31666557,272.90126666
149,ElitistAS,65907.80376775,263.63121507
149,MaxMinAS,64332.24619058,257.32898476
150,BlindBlendAS,61434.78773637,245.73915095
150,BaselineAS,66089.04352189,264.35617409
150,ElitistAS,64222.57588963,256.89030356
150,MaxMinAS,60919.25351923,243.67701408
151,BlindBlendAS,63468.09890102,253.87239560
151,BaselineAS,68070.12906549,272.28051626
151,ElitistAS,67315.95584542,269.26382338
151,MaxMinAS,66267.54067761,265.07016271
152,BlindBlendAS,63435.64187104,253.74256748
152,BaselineAS,66236.31916915,264.94527668
152,ElitistAS,67511.74031241,270.04696125
152,MaxMinAS,62488.77156757,249.95508627
153,BlindBlendAS,61469.77852836,245.87911411
153,BaselineAS,65548.09651278,262.19238605
153,ElitistAS,65733.17639662,262.93270559
153,MaxMinAS,63995.89452364,255.98357809
154,BlindBlendAS,62545.62105355,250.18248421
154,BaselineAS,65702.15140573,262.80860562
154,ElitistAS,65972.98492585,263.89193970
154,MaxMinAS,65942.47825546,263.76991302
155,BlindBlendAS,62804.02503819,251.21610015
155,BaselineAS,66294.20383613,265.17681534
155,ElitistAS,65239.00086174,260.95600345
155,MaxMinAS,63970.42548582,255.88170194
156,BlindBlendAS,63697.00216386,254.78800866
156,BaselineAS,65197.14388142,260.78857553
156,ElitistAS,64307.11245477,257.22844982
156,MaxMinAS,63519.96571397,254.07986286
157,BlindBlendAS,63130.00640242,252.52002561
157,BaselineAS,67776.29310519,271.10517242
