n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,15251.54950366,152.51549504
100,BaselineAS,15737.56234117,157.37562341
100,ElitistAS,15509.39943595,155.09399436
100,MaxMinAS,15580.99487523,155.80994875
101,BlindBlendAS,15716.57021816,155.60960612
101,BaselineAS,16287.77759814,161.26512473
101,ElitistAS,15870.16648547,157.13036124
101,MaxMinAS,15616.46172003,154.61843287
102,BlindBlendAS,16336.88640275,160.16555297
102,BaselineAS,16779.38416296,164.50376630
102,ElitistAS,16970.11681216,166.37369424
102,MaxMinAS,16424.49933207,161.02450326
103,BlindBlendAS,16548.82858863,160.66823872
103,BaselineAS,16666.17747067,161.80754826
103,ElitistAS,16787.93162884,162.98962746
103,MaxMinAS,16429.84730062,159.51308059
104,BlindBlendAS,16965.66434113,163.13138790
104,BaselineAS,17294.81893710,166.29633593
104,ElitistAS,17163.17704742,165.03054853
104,MaxMinAS,17082.47044718,164.25452353
105,BlindBlendAS,16582.83525337,157.93176432
105,BaselineAS,16888.28621513,160.84082110
105,ElitistAS,16760.16338493,159.62060367
105,MaxMinAS,16708.87078695,159.13210273
106,BlindBlendAS,17673.94875102,166.73536558
106,BaselineAS,18165.10835647,171.36894676
106,ElitistAS,18219.41916478,171.88131288
106,MaxMinAS,17657.14677541,166.57685637
107,BlindBlendAS,17521.97314046,163.75675832
107,BaselineAS,18166.45858852,169.77998681
107,ElitistAS,17875.53078781,167.06103540
107,MaxMinAS,17794.56677167,166.30436235
108,BlindBlendAS,16995.42584174,157.36505409
108,BaselineAS,17335.07465207,160.50995048
108,ElitistAS,17264.00341672,159.85188349
108,MaxMinAS,17180.20939819,159.07601295
109,BlindBlendAS,17636.99868697,161.80732740
109,BaselineAS,18054.78463682,165.64022603
109,ElitistAS,18095.81896439,166.01668775
109,MaxMinAS,17640.65168604,161.84084116
110,BlindBlendAS,18027.44039586,163.88582178
110,BaselineAS,18146.42493684,164.96749943
110,ElitistAS,18146.71260438,164.97011459
110,MaxMinAS,18158.03596431,165.07305422
111,BlindBlendAS,18136.39460802,163.39094241
111,BaselineAS,18290.96182497,164.78343986
111,ElitistAS,18289.61121404,164.77127220
111,MaxMinAS,18034.32681034,162.47141271
112,BlindBlendAS,19094.97327384,170.49083280
112,BaselineAS,19749.45329478,176.33440442
112,ElitistAS,19782.31384089,176.62780215
112,MaxMinAS,19145.97729335,170.94622583
113,BlindBlendAS,18473.32422809,163.48074538
113,BaselineAS,19185.99905765,169.78760228
113,ElitistAS,18978.58998717,167.95212378
113,MaxMinAS,18627.22513290,164.84270029
114,BlindBlendAS,18631.88273611,163.43756786
114,BaselineAS,19001.72249704,166.68177629
114,ElitistAS,18845.27338922,165.30941569
114,MaxMinAS,18660.57914885,163.68929078
115,BlindBlendAS,19927.39075346,173.28165873
115,BaselineAS,20514.45994798,178.38660824
115,ElitistAS,20440.50696623,177.74353884
115,MaxMinAS,19808.76412570,172.25012283
116,BlindBlendAS,20080.71675620,173.10962721
116,BaselineAS,20783.16689924,179.16523189
116,ElitistAS,20539.08609502,177.06108703
116,MaxMinAS,20156.89609832,173.76634568
117,BlindBlendAS,18211.42604367,155.65321405
117,BaselineAS,19043.38991027,162.76401633
117,ElitistAS,18935.07610879,161.83825734
117,MaxMinAS,18233.35412728,155.84063357
118,BlindBlendAS,20394.34427583,172.83342607
118,BaselineAS,21709.76481290,183.98105774
118,ElitistAS,21248.45257696,180.07163201
118,MaxMinAS,20518.14364766,173.88257329
119,BlindBlendAS,20145.31137847,169.28833091
119,BaselineAS,20609.18550292,173.18643280
119,ElitistAS,20443.73544063,171.79609614
119,MaxMinAS,20340.29133760,170.92681796
120,BlindBlendAS,19930.91201484,166.09093346
120,BaselineAS,20310.76864794,169.25640540
120,ElitistAS,20393.35792264,169.94464936
