n_cities,algorithm,best_distance,distance_per_city
100,BlindBlendAS,43249.28409062,216.24642045
100,BaselineAS,46457.65480271,232.28827401
100,ElitistAS,46047.90178308,230.23950892
100,MaxMinAS,44029.53674284,220.14768371
101,BlindBlendAS,44431.29511294,222.15647556
101,BaselineAS,46827.93005577,234.13965028
101,ElitistAS,47044.03524843,235.22017624
101,MaxMinAS,45303.05950644,226.51529753
102,BlindBlendAS,45367.84736502,226.83923683
102,BaselineAS,48613.28325509,243.06641628
102,ElitistAS,48050.34643928,240.25173220
102,MaxMinAS,46123.17391898,230.61586959
103,BlindBlendAS,43256.29856095,216.28149280
103,BaselineAS,46292.35467988,231.46177340
103,ElitistAS,45915.08145776,229.57540729
103,MaxMinAS,43587.24927438,217.93624637
104,BlindBlendAS,42876.74587216,214.38372936
104,BaselineAS,45035.49813533,225.17749068
104,ElitistAS,45429.26884581,227.14634423
104,MaxMinAS,43521.75778667,217.60878893
105,BlindBlendAS,42836.48285280,214.18241426
105,BaselineAS,44241.04060351,221.20520302
105,ElitistAS,44243.92395413,221.21961977
105,MaxMinAS,42994.90290258,214.97451451
106,BlindBlendAS,43523.16570534,217.61582853
106,BaselineAS,46038.66274214,230.19331371
106,ElitistAS,45410.23866669,227.05119333
106,MaxMinAS,43105.89345628,215.52946728
107,BlindBlendAS,44716.27707517,223.58138538
107,BaselineAS,46186.93720853,230.93468604
107,ElitistAS,46015.92029786,230.07960149
107,MaxMinAS,44092.81165490,220.46405827
108,BlindBlendAS,43255.60303868,216.27801519
108,BaselineAS,45830.91916448,229.15459582
108,ElitistAS,45475.63451208,227.37817256
108,MaxMinAS,43716.84074530,218.58420373
109,BlindBlendAS,44247.73336699,221.23866683
109,BaselineAS,46862.53044480,234.31265222
109,ElitistAS,46829.97684339,234.14988422
109,MaxMinAS,44055.04377382,220.27521887
110,BlindBlendAS,43599.88262503,217.99941313
110,BaselineAS,46221.91951837,231.10959759
110,ElitistAS,45642.80337311,228.21401687
110,MaxMinAS,45344.97015957,226.72485080
111,BlindBlendAS,43165.59590824,215.82797954
111,BaselineAS,44940.92413737,224.70462069
111,ElitistAS,45021.16149017,225.10580745
111,MaxMinAS,44176.54559807,220.88272799
112,BlindBlendAS,44868.71092466,224.34355462
112,BaselineAS,47080.88539147,235.40442696
112,ElitistAS,46999.87363801,234.99936819
112,MaxMinAS,44509.47454745,222.54737274
113,BlindBlendAS,43312.04005834,216.56020029
113,BaselineAS,46205.89362380,231.02946812
113,ElitistAS,46013.65112930,230.06825565
113,MaxMinAS,43358.79429107,216.79397146
114,BlindBlendAS,43879.81426996,219.39907135
114,BaselineAS,45523.81609940,227.61908050
114,ElitistAS,45082.24233262,225.41121166
114,MaxMinAS,44292.51340300,221.46256702
115,BlindBlendAS,43616.70804006,218.08354020
115,BaselineAS,46755.10013378,233.77550067
115,ElitistAS,46571.92766767,232.85963834
115,MaxMinAS,44670.14234097,223.35071170
116,BlindBlendAS,44075.47558784,220.37737794
116,BaselineAS,46992.95190059,234.96475950
116,ElitistAS,46792.21299408,233.96106497
116,MaxMinAS,45173.90347040,225.86951735
117,BlindBlendAS,41215.04689369,206.07523447
117,BaselineAS,44040.80102915,220.20400515
117,ElitistAS,43940.74015671,219.70370078
117,MaxMinAS,42268.84278554,211.34421393
118,BlindBlendAS,42770.20023397,213.85100117
118,BaselineAS,44667.54223798,223.33771119
118,ElitistAS,44256.38129621,221.28190648
118,MaxMinAS,42143.86324257,210.71931621
119,BlindBlendAS,44408.70247174,222.04351236
119,BaselineAS,46194.69408109,230.97347041
119,ElitistAS,46294.06656909,231.47033285
119,MaxMinAS,44536.04183790,222.68020919
120,BlindBlendAS,41895.12350030,209.47561750
120,BaselineAS,44914.87402726,224.57437014
120,ElitistAS,44489.36285794,222.44681429
120,MaxMinAS,42214.52773593,211.07263868
121,BlindBlendAS,43604.02925111,218.02014626
121,BaselineAS,45474.94555659,227.37472778
121,ElitistAS,45346.23517343,226.73117587
121,MaxMinAS,44204.42259943,221.02211300
122,BlindBlendAS,44297.66480950,221.48832405
122,BaselineAS,46084.55383023,230.42276915
122,ElitistAS,46523.57449045,232.61787245
122,MaxMinAS,45268.45417238,226.34227086
123,BlindBlendAS,43194.27957732,215.97139789
123,BaselineAS,45944.35817184,229.72179086
123,ElitistAS,45633.19057852,228.16595289
123,MaxMinAS,43794.23504106,218.97117521
124,BlindBlendAS,44164.04072972,220.82020365
124,BaselineAS,47413.36830721,237.06684154
124,ElitistAS,47503.35445889,237.51677229
124,MaxMinAS,44622.78253900,223.11391269
125,BlindBlendAS,42504.38545179,212.52192726
125,BaselineAS,44325.36832141,221.62684161
125,ElitistAS,44902.24491462,224.51122457
125,MaxMinAS,42645.73588256,213.22867941
126,BlindBlendAS,43722.56120459,218.61280602
126,BaselineAS,46276.74804996,231.38374025
126,ElitistAS,45442.93251891,227.21466259
126,MaxMinAS,43934.56319804,219.67281599
127,BlindBlendAS,44401.44046370,222.00720232
127,BaselineAS,46112.97577156,230.56487886
127,ElitistAS,46011.91068440,230.05955342
127,MaxMinAS,43932.80023590,219.66400118
128,BlindBlendAS,42391.43837691,211.95719188
128,BaselineAS,43737.34138430,218.68670692
128,ElitistAS,44138.68350999,220.69341755
128,MaxMinAS,42590.51131417,212.95255657
129,BlindBlendAS,43905.36098108,219.52680491
129,BaselineAS,46600.17277234,233.00086386
129,ElitistAS,45993.85438283,229.96927191
129,MaxMinAS,43494.03720687,217.47018603
130,BlindBlendAS,40898.49296125,204.49246481
130,BaselineAS,44394.05128121,221.97025641
130,ElitistAS,43700.27077473,218.50135387
130,MaxMinAS,41696.54836650,208.48274183
131,BlindBlendAS,43670.83980337,218.35419902
131,BaselineAS,47301.09426697,236.50547133
131,ElitistAS,47175.75024982,235.87875125
131,MaxMinAS,44580.08900388,222.90044502
132,BlindBlendAS,43130.57312620,215.65286563
132,BaselineAS,45386.27578715,226.93137894
132,ElitistAS,44690.56564622,223.45282823
132,MaxMinAS,42956.45549848,214.78227749
133,BlindBlendAS,44469.66073807,222.34830369
133,BaselineAS,47240.94653976,236.20473270
133,ElitistAS,46126.05307711,230.63026539
133,MaxMinAS,44696.42770638,223.48213853
134,BlindBlendAS,44903.20350023,224.51601750
134,BaselineAS,47753.47226903,238.76736135
134,ElitistAS,46396.55373255,231.98276866
134,MaxMinAS,45080.81416673,225.40407083
135,BlindBlendAS,44470.08881323,222.35044407
135,BaselineAS,46253.24962777,231.26624814
135,ElitistAS,46337.59689202,231.68798446
135,MaxMinAS,44283.84274568,221.41921373
136,BlindBlendAS,42865.29501155,214.32647506
136,BaselineAS,45411.69459205,227.05847296
136,ElitistAS,45591.48280600,227.95741403
136,MaxMinAS,43556.13266201,217.78066331
137,BlindBlendAS,42780.55855559,213.90279278
137,BaselineAS,44978.31287672,224.89156438
137,ElitistAS,45111.14979485,225.55574897
137,MaxMinAS,42650.90037738,213.25450189
138,BlindBlendAS,43305.69524388,216.52847622
138,BaselineAS,46072.08061596,230.36040308
138,ElitistAS,47222.86217687,236.11431088
138,MaxMinAS,44477.41325156,222.38706626
139,BlindBlendAS,45075.47718106,225.37738591
139,BaselineAS,47230.51317172,236.15256586
139,ElitistAS,46843.36456383,234.21682282
139,MaxMinAS,44964.70718475,224.82353592
140,BlindBlendAS,43676.34468494,218.38172342
140,BaselineAS,47318.87891774,236.59439459
140,ElitistAS,46577.51855831,232.88759279
140,MaxMinAS,44107.95638134,220.53978191
141,BlindBlendAS,44426.77007398,222.13385037
141,BaselineAS,46901.04135508,234.50520678
141,ElitistAS,47453.01325630,237.26506628
141,MaxMinAS,44574.97023476,222.87485117
142,BlindBlendAS,43743.62245272,218.71811226
142,BaselineAS,46116.73781326,230.58368907
142,ElitistAS,44813.31986641,224.06659933
142,MaxMinAS,44074.24490429,220.37122452
143,BlindBlendAS,43016.29283275,215.08146416
143,BaselineAS,45684.59679665,228.42298398
143,ElitistAS,46121.47002462,230.60735012
143,MaxMinAS,43106.94361143,215.53471806
144,BlindBlendAS,43323.27981638,216.61639908
144,BaselineAS,45520.69152583,227.60345763
144,ElitistAS,45383.08819388,226.91544097
144,MaxMinAS,43547.87286989,217.73936435
145,BlindBlendAS,42930.34716265,214.65173581
145,BaselineAS,45604.19818279,228.02099091
145,ElitistAS,45836.32969072,229.18164845
145,MaxMinAS,43841.76847809,219.20884239
146,BlindBlendAS,44701.63974515,223.50819873
146,BaselineAS,46788.22327664,233.94111638
146,ElitistAS,46339.95892781,231.69979464
146,MaxMinAS,44564.14894090,222.82074470
147,BlindBlendAS,44627.15749792,223.13578749
147,BaselineAS,46686.39134084,233.43195670
147,ElitistAS,47141.30209485,235.70651047
147,MaxMinAS,44432.74509096,222.16372545
148,BlindBlendAS,45522.80343892,227.61401719
148,BaselineAS,47994.57362385,239.97286812
148,ElitistAS,47668.84337054,238.34421685
148,MaxMinAS,45538.22288014,227.69111440
149,BlindBlendAS,43877.77315117,219.38886576
149,BaselineAS,45516.47758654,227.58238793
149,ElitistAS,45817.16369712,229.08581849
149,MaxMinAS,43892.42659470,219.46213297
150,BlindBlendAS,43287.26399765,216.43631999
150,BaselineAS,45677.43809474,228.38719047
150,ElitistAS,45707.71798755,228.53858994
150,MaxMinAS,43421.10162069,217.10550810
151,BlindBlendAS,44056.62235067,220.28311175
151,BaselineAS,45853.83566723,229.26917834
151,ElitistAS,46140.63215033,230.70316075
151,MaxMinAS,44054.09284471,220.27046422
152,BlindBlendAS,42319.18467388,211.59592337
152,BaselineAS,46415.97663208,232.07988316
152,ElitistAS,45956.03897551,229.78019488
152,MaxMinAS,43058.49775738,215.29248879
153,BlindBlendAS,42611.63196609,213.05815983
153,BaselineAS,45632.84301754,228.16421509
153,ElitistAS,46003.66105233,230.01830526
153,MaxMinAS,42421.63596552,212.10817983
154,BlindBlendAS,43077.51631168,215.38758156
154,BaselineAS,45686.82096878,228.43410484
154,ElitistAS,44464.21188760,222.32105944
154,MaxMinAS,43846.39810532,219.23199053
155,BlindBlendAS,43898.15561747,219.49077809
155,BaselineAS,45236.31810579,226.18159053
155,ElitistAS,45596.62498991,227.98312495
155,MaxMinAS,43550.21315985,217.75106580
156,BlindBlendAS,43494.95824770,217.47479124
156,BaselineAS,45915.10268703,229.57551344
156,ElitistAS,45532.06091372,227.66030457
156,MaxMinAS,43646.55041661,218.23275208
157,BlindBlendAS,44258.44890852,221.29224454
157,BaselineAS,45500.28165217,227.50140826
157,ElitistAS,45532.88923362,227.66444617
157,MaxMinAS,44766.00744489,223.83003722
158,BlindBlendAS,44181.71394726,220.90856974
158,BaselineAS,47152.59852425,235.76299262
158,ElitistAS,47229.20436837,236.14602184
158,MaxMinAS,44540.28771017,222.70143855
159,BlindBlendAS,44094.91443111,220.47457216
159,BaselineAS,46340.48023347,231.70240117
159,ElitistAS,46068.37753107,230.34188766
159,MaxMinAS,44694.45408476,223.47227042
160,BlindBlendAS,42450.18961057,212.25094805
160,BaselineAS,44710.86787329,223.55433937
160,ElitistAS,44855.28205842,224.27641029
160,MaxMinAS,43095.48358895,215.47741794
161,BlindBlendAS,43208.10696207,216.04053481
161,BaselineAS,44855.81072919,224.27905365
161,ElitistAS,44966.17798286,224.83088991
161,MaxMinAS,43424.61262986,217.12306315
162,BlindBlendAS,43759.78179094,218.79890895
162,BaselineAS,46621.14673748,233.10573369
162,ElitistAS,46723.53959541,233.61769798
162,MaxMinAS,43499.43436432,217.49717182
163,BlindBlendAS,44748.03736317,223.74018682
163,BaselineAS,46843.57023292,234.21785116
163,ElitistAS,46817.36731299,234.08683656
163,MaxMinAS,45500.24186761,227.50120934
164,BlindBlendAS,44781.93552808,223.90967764
164,BaselineAS,45896.93671318,229.48468357
164,ElitistAS,46605.15397708,233.02576989
164,MaxMinAS,43721.90999286,218.60954996
165,BlindBlendAS,44017.36193489,220.08680967
165,BaselineAS,45889.71386870,229.44856934
165,ElitistAS,46090.82621105,230.45413106
165,MaxMinAS,43474.49534389,217.37247672
166,BlindBlendAS,43030.79667480,215.15398337
166,BaselineAS,46326.78606781,231.63393034
166,ElitistAS,46633.24118747,233.16620594
166,MaxMinAS,43917.23872295,219.58619361
167,BlindBlendAS,44715.25292594,223.57626463
167,BaselineAS,47452.47825152,237.26239126
167,ElitistAS,47222.31351230,236.11156756
167,MaxMinAS,46166.31457464,230.83157287
168,BlindBlendAS,43500.43909151,217.50219546
168,BaselineAS,44905.24498560,224.52622493
168,ElitistAS,44051.77726611,220.25888633
168,MaxMinAS,43223.54277024,216.11771385
169,BlindBlendAS,42930.48327592,214.65241638
169,BaselineAS,45352.99840453,226.76499202
169,ElitistAS,45292.84298807,226.46421494
169,MaxMinAS,43164.13470040,215.82067350
170,BlindBlendAS,43317.02740141,216.58513701
170,BaselineAS,45669.61115938,228.34805580
170,ElitistAS,45252.50526970,226.26252635
170,MaxMinAS,43476.02006562,217.38010033
171,BlindBlendAS,43616.17090944,218.08085455
171,BaselineAS,45291.97611544,226.45988058
171,ElitistAS,44978.09453048,224.89047265
171,MaxMinAS,43225.57614203,216.12788071
172,BlindBlendAS,44578.95602751,222.89478014
172,BaselineAS,46316.76409434,231.58382047
172,ElitistAS,46876.64835408,234.38324177
172,MaxMinAS,44956.51613434,224.78258067
173,BlindBlendAS,45227.07298271,226.13536491
173,BaselineAS,47130.43259842,235.65216299
173,ElitistAS,47020.98706859,235.10493534
173,MaxMinAS,45249.10323392,226.24551617
174,BlindBlendAS,44348.85803307,221.74429017
174,BaselineAS,46617.99189795,233.08995949
174,ElitistAS,46891.55752684,234.45778763
174,MaxMinAS,44680.98495188,223.40492476
175,BlindBlendAS,42946.44909762,214.73224549
175,BaselineAS,45618.09632694,228.09048163
175,ElitistAS,45438.58221061,227.19291105
175,MaxMinAS,43286.90932512,216.43454663
176,BlindBlendAS,43429.60091377,217.14800457
176,BaselineAS,45861.20441328,229.30602207
176,ElitistAS,45977.38264930,229.88691325
176,MaxMinAS,43544.04240298,217.72021201
177,BlindBlendAS,46053.84487862,230.26922439
177,BaselineAS,48678.18492107,243.39092461
177,ElitistAS,48278.93975129,241.39469876
177,MaxMinAS,45626.45107139,228.13225536
178,BlindBlendAS,44033.15571803,220.16577859
178,BaselineAS,45454.33819727,227.27169099
178,ElitistAS,46116.65718626,230.58328593
178,MaxMinAS,44038.11624052,220.19058120
179,BlindBlendAS,44496.58850628,222.48294253
179,BaselineAS,47170.62023379,235.85310117
179,ElitistAS,46209.18118620,231.04590593
179,MaxMinAS,44838.49341341,224.19246707
180,BlindBlendAS,41507.92548072,207.53962740
180,BaselineAS,43930.61828754,219.65309144
180,ElitistAS,44720.86049820,223.60430249
180,MaxMinAS,41914.72696884,209.57363484
181,BlindBlendAS,42982.65602105,214.91328011
181,BaselineAS,45274.87690385,226.37438452
181,ElitistAS,44907.19477100,224.53597386
181,MaxMinAS,43669.67138987,218.34835695
182,BlindBlendAS,43594.35505094,217.97177525
182,BaselineAS,46436.50323341,232.18251617
182,ElitistAS,45511.35199030,227.55675995
182,MaxMinAS,43682.28375423,218.41141877
183,BlindBlendAS,43143.66107755,215.71830539
183,BaselineAS,45787.39657066,228.93698285
183,ElitistAS,45671.26620728,228.35633104
183,MaxMinAS,42943.39945304,214.71699727
184,BlindBlendAS,44330.18723836,221.65093619
184,BaselineAS,45887.02885760,229.43514429
184,ElitistAS,44722.29472099,223.61147360
184,MaxMinAS,43982.78641032,219.91393205
185,BlindBlendAS,43642.12278208,218.21061391
185,BaselineAS,46573.05698762,232.86528494
185,ElitistAS,46279.02665572,231.39513328
185,MaxMinAS,44506.35609380,222.53178047
186,BlindBlendAS,42984.42867241,214.92214336
186,BaselineAS,45080.51843471,225.40259217
186,ElitistAS,44850.00592879,224.25002964
186,MaxMinAS,43272.31091459,216.36155457
187,BlindBlendAS,43759.27908793,218.79639544
187,BaselineAS,45733.20625547,228.66603128
187,ElitistAS,45083.66639280,225.41833196
187,MaxMinAS,43403.58381495,217.01791907
188,BlindBlendAS,43663.96536820,218.31982684
188,BaselineAS,46217.77789748,231.08888949
188,ElitistAS,46296.36260543,231.48181303
188,MaxMinAS,43703.12477745,218.51562389
189,BlindBlendAS,44439.42250217,222.19711251
189,BaselineAS,47303.65217884,236.51826089
189,ElitistAS,46981.91923027,234.90959615
189,MaxMinAS,45051.33722664,225.25668613
190,BlindBlendAS,44369.58724996,221.84793625
190,BaselineAS,46861.57090071,234.30785450
190,ElitistAS,46341.92922445,231.70964612
190,MaxMinAS,44746.94780629,223.73473903
191,BlindBlendAS,44412.74011110,222.06370056
191,BaselineAS,46646.80173305,233.23400867
191,ElitistAS,47839.01793928,239.19508970
191,MaxMinAS,44839.23257057,224.19616285
192,BlindBlendAS,42945.86248992,214.72931245
192,BaselineAS,45170.23546379,225.85117732
192,ElitistAS,44768.13029384,223.84065147
192,MaxMinAS,42910.18508748,214.55092544
193,BlindBlendAS,42807.82496376,214.03912482
193,BaselineAS,46216.27824367,231.08139122
193,ElitistAS,46315.43010987,231.57715055
193,MaxMinAS,42657.38688894,213.28693444
