schedule,start_evaporation,end_evaporation,curve,seed_index,python_seed,city_seed,best_distance,blind_rounds,final_pheromone_min,final_pheromone_max,final_pheromone_mean
linear,0.90000000,0.20000000,1.00000000,0,48,48,6954.85093229,3,0.00718923,0.76778904,0.03246957
linear,0.90000000,0.20000000,1.00000000,1,49,49,7611.05045656,6,0.00656940,0.65508845,0.02803477
linear,0.90000000,0.20000000,1.00000000,2,50,50,8080.87174691,3,0.00618745,0.68208411,0.02926595
linear,0.90000000,0.20000000,1.00000000,3,51,51,7556.46569954,6,0.00661685,0.67562626,0.02854317
linear,0.90000000,0.20000000,1.00000000,4,52,52,6829.74792001,9,0.00732091,0.72234471,0.03069187
linear,0.90000000,0.20000000,1.00000000,5,53,53,7444.03551223,3,0.00671679,0.66923771,0.02896624
linear,0.90000000,0.20000000,1.00000000,6,54,54,7507.41944046,9,0.00666008,0.65929622,0.02827997
linear,0.90000000,0.20000000,1.00000000,7,55,55,7961.00980794,0,0.00628061,0.62926311,0.02736667
linear,0.90000000,0.20000000,1.00000000,8,56,56,8262.25592702,0,0.00605162,0.60803312,0.02644193
linear,0.90000000,0.20000000,1.00000000,9,57,57,7685.45940891,3,0.00650579,0.65491592,0.02792772
exponential,0.90000000,0.20000000,-4.00000000,0,48,48,6967.09340962,6,0.00717659,0.83327086,0.03448284
exponential,0.90000000,0.20000000,-4.00000000,1,49,49,7611.05045656,6,0.00656940,0.76448210,0.03149772
exponential,0.90000000,0.20000000,-4.00000000,2,50,50,7914.97353090,6,0.00631714,0.71752142,0.02977800
exponential,0.90000000,0.20000000,-4.00000000,3,51,51,7556.46569954,6,0.00661685,0.77895781,0.03245611
exponential,0.90000000,0.20000000,-4.00000000,4,52,52,6855.78566400,3,0.00729311,0.83694532,0.03471887
exponential,0.90000000,0.20000000,-4.00000000,5,53,53,7436.14890783,9,0.00672391,0.77873779,0.03232897
exponential,0.90000000,0.20000000,-4.00000000,6,54,54,7507.41944046,9,0.00666008,0.76383608,0.03152572
exponential,0.90000000,0.20000000,-4.00000000,7,55,55,7882.97463315,6,0.00634278,0.73953701,0.03048274
exponential,0.90000000,0.20000000,-4.00000000,8,56,56,8268.14719954,0,0.00604730,0.70395555,0.02965487
exponential,0.90000000,0.20000000,-4.00000000,9,57,57,7716.48742498,9,0.00647963,0.74542157,0.03072466
exponential,0.90000000,0.20000000,-2.00000000,0,48,48,6954.85093229,3,0.00718923,0.81977869,0.03429968
exponential,0.90000000,0.20000000,-2.00000000,1,49,49,7694.89487859,6,0.00649781,0.71643242,0.02999226
exponential,0.90000000,0.20000000,-2.00000000,2,50,50,8075.65209156,0,0.00619145,0.68418854,0.02915036
exponential,0.90000000,0.20000000,-2.00000000,3,51,51,7556.46569954,9,0.00661685,0.76325078,0.03207145
exponential,0.90000000,0.20000000,-2.00000000,4,52,52,6828.41388985,0,0.00732234,0.80936164,0.03450234
exponential,0.90000000,0.20000000,-2.00000000,5,53,53,7436.14890783,6,0.00672391,0.74300370,0.03160955
exponential,0.90000000,0.20000000,-2.00000000,6,54,54,7507.41944046,9,0.00666008,0.73489504,0.03067528
exponential,0.90000000,0.20000000,-2.00000000,7,55,55,7926.16135146,3,0.00630822,0.70701539,0.02935534
exponential,0.90000000,0.20000000,-2.00000000,8,56,56,8231.71611541,3,0.00607407,0.66941046,0.02846546
exponential,0.90000000,0.20000000,-2.00000000,9,57,57,7685.45940891,9,0.00650579,0.71205300,0.02959402
exponential,0.90000000,0.20000000,-1.00000000,0,48,48,6954.85093229,3,0.00718923,0.79620541,0.03347357
exponential,0.90000000,0.20000000,-1.00000000,1,49,49,7611.05045656,9,0.00656940,0.73501772,0.03109332
exponential,0.90000000,0.20000000,-1.00000000,2,50,50,8124.55660968,3,0.00615418,0.65658048,0.02754480
exponential,0.90000000,0.20000000,-1.00000000,3,51,51,7556.46569954,9,0.00661685,0.74750368,0.03158303
exponential,0.90000000,0.20000000,-1.00000000,4,52,52,6917.71335385,3,0.00722782,0.75944281,0.03191222
exponential,0.90000000,0.20000000,-1.00000000,5,53,53,7436.14890783,9,0.00672391,0.75764961,0.03249954
exponential,0.90000000,0.20000000,-1.00000000,6,54,54,7494.60579549,6,0.00667146,0.70621976,0.02972339
exponential,0.90000000,0.20000000,-1.00000000,7,55,55,7787.24265640,6,0.00642076,0.69148042,0.02884682
exponential,0.90000000,0.20000000,-1.00000000,8,56,56,8358.95015424,6,0.00598161,0.62630317,0.02669957
exponential,0.90000000,0.20000000,-1.00000000,9,57,57,7716.48742498,0,0.00647963,0.68555621,0.02948170
exponential,0.90000000,0.20000000,1.00000000,0,48,48,6954.85093229,3,0.00718923,0.69513871,0.02971389
exponential,0.90000000,0.20000000,1.00000000,1,49,49,7611.05045656,6,0.00656940,0.62452419,0.02678736
exponential,0.90000000,0.20000000,1.00000000,2,50,50,7914.97353090,6,0.00631714,0.58842965,0.02534616
exponential,0.90000000,0.20000000,1.00000000,3,51,51,7556.46569954,6,0.00661685,0.63806904,0.02730029
exponential,0.90000000,0.20000000,1.00000000,4,52,52,6855.78566400,3,0.00729311,0.78407781,0.03362441
exponential,0.90000000,0.20000000,1.00000000,5,53,53,7436.14890783,3,0.00672391,0.63888592,0.02814213
exponential,0.90000000,0.20000000,1.00000000,6,54,54,7494.60579549,6,0.00667146,0.63287870,0.02739175
exponential,0.90000000,0.20000000,1.00000000,7,55,55,7855.49282488,3,0.00636497,0.60475863,0.02663890
exponential,0.90000000,0.20000000,1.00000000,8,56,56,8211.67068217,3,0.00608889,0.57847657,0.02548039
exponential,0.90000000,0.20000000,1.00000000,9,57,57,7716.48742498,9,0.00647963,0.63853653,0.02722222
exponential,0.90000000,0.20000000,2.00000000,0,48,48,6954.85093229,6,0.00718923,0.64673926,0.02885980
exponential,0.90000000,0.20000000,2.00000000,1,49,49,7611.05045656,3,0.00656940,0.58928143,0.02624564
exponential,0.90000000,0.20000000,2.00000000,2,50,50,8072.66506513,3,0.00619374,0.55662058,0.02475365
exponential,0.90000000,0.20000000,2.00000000,3,51,51,7556.46569954,6,0.00661685,0.60298344,0.02615283
exponential,0.90000000,0.20000000,2.00000000,4,52,52,6866.39410594,0,0.00728184,0.65373391,0.02919123
exponential,0.90000000,0.20000000,2.00000000,5,53,53,7436.14890783,3,0.00672391,0.60350061,0.02689167
exponential,0.90000000,0.20000000,2.00000000,6,54,54,7494.60579549,3,0.00667146,0.70040009,0.03027793
exponential,0.90000000,0.20000000,2.00000000,7,55,55,7782.79672705,3,0.00642443,0.57778626,0.02577963
exponential,0.90000000,0.20000000,2.00000000,8,56,56,8346.58237904,6,0.00599048,0.53404250,0.02369617
exponential,0.90000000,0.20000000,2.00000000,9,57,57,7716.48742498,9,0.00647963,0.58377501,0.02578276
exponential,0.90000000,0.20000000,4.00000000,0,48,48,6954.85093229,6,0.00718923,0.58815347,0.02679606
exponential,0.90000000,0.20000000,4.00000000,1,49,49,7611.05045656,3,0.00656940,0.53778096,0.02456016
exponential,0.90000000,0.20000000,4.00000000,2,50,50,8080.87174691,6,0.00618745,0.62401919,0.02709936
exponential,0.90000000,0.20000000,4.00000000,3,51,51,7556.46569954,6,0.00661685,0.54571495,0.02430722
exponential,0.90000000,0.20000000,4.00000000,4,52,52,6855.78566400,3,0.00729311,0.73612326,0.03199920
exponential,0.90000000,0.20000000,4.00000000,5,53,53,7521.14560496,6,0.00664792,0.53729530,0.02450215
exponential,0.90000000,0.20000000,4.00000000,6,54,54,7494.60579549,3,0.00667146,0.54560721,0.02486859
exponential,0.90000000,0.20000000,4.00000000,7,55,55,7888.93530849,9,0.00633799,0.63875023,0.02774944
exponential,0.90000000,0.20000000,4.00000000,8,56,56,8347.27784926,0,0.00598998,0.49027184,0.02239678
exponential,0.90000000,0.20000000,4.00000000,9,57,57,7716.48742498,9,0.00647963,0.65291979,0.02836697
logarithmic,0.90000000,0.20000000,-9.00000000,0,48,48,6954.85093229,3,0.00718923,0.60510366,0.02668632
logarithmic,0.90000000,0.20000000,-9.00000000,1,49,49,7612.41026641,3,0.00656822,0.55232792,0.02501268
logarithmic,0.90000000,0.20000000,-9.00000000,2,50,50,7883.67444908,6,0.00634222,0.52591825,0.02361861
logarithmic,0.90000000,0.20000000,-9.00000000,3,51,51,7556.46569954,6,0.00661685,0.56307335,0.02486021
logarithmic,0.90000000,0.20000000,-9.00000000,4,52,52,6855.78566400,3,0.00729311,0.61565139,0.02790412
logarithmic,0.90000000,0.20000000,-9.00000000,5,53,53,7436.14890783,3,0.00672391,0.56754642,0.02572279
logarithmic,0.90000000,0.20000000,-9.00000000,6,54,54,7494.60579549,3,0.00667146,0.68189925,0.02965083
logarithmic,0.90000000,0.20000000,-9.00000000,7,55,55,7913.29814630,9,0.00631848,0.64183622,0.02782691
logarithmic,0.90000000,0.20000000,-9.00000000,8,56,56,8367.85916219,6,0.00597524,0.48961092,0.02215942
logarithmic,0.90000000,0.20000000,-9.00000000,9,57,57,7716.48742498,9,0.00647963,0.54753068,0.02465070
logarithmic,0.90000000,0.20000000,-3.00000000,0,48,48,6954.85093229,3,0.00718923,0.66747200,0.02877478
logarithmic,0.90000000,0.20000000,-3.00000000,1,49,49,7611.05045656,6,0.00656940,0.60721118,0.02622769
logarithmic,0.90000000,0.20000000,-3.00000000,2,50,50,7914.97353090,6,0.00631714,0.56160086,0.02446429
