schedule,start_evaporation,end_evaporation,curve,runs,average_best_distance,best_distance,worst_distance,stddev_best_distance,average_blind_rounds,average_pheromone_min,average_pheromone_max,average_pheromone_mean
exponential,0.60000000,0.20000000,-2.00000000,10,7550.76155938,6855.78566400,8211.67068217,385.41129757,3.90000000,0.00663953,0.75604665,0.03166512
logarithmic,0.70000000,0.40000000,3.00000000,10,7554.28815408,6855.78566400,8231.71611541,391.43882807,3.90000000,0.00331847,0.39135186,0.01640378
exponential,0.80000000,0.20000000,-4.00000000,10,7555.77275211,6855.78566400,8261.07248638,394.00966942,3.60000000,0.00663582,0.77620685,0.03233197
exponential,0.70000000,0.40000000,-2.00000000,10,7559.68486157,6855.78566400,8231.71611541,390.61572446,4.80000000,0.00331607,0.39289088,0.01642007
logarithmic,0.70000000,0.40000000,1.00000000,10,7559.75081541,6926.17394638,8231.71611541,378.23001322,4.20000000,0.00331541,0.39073036,0.01636789
logarithmic,0.70000000,0.40000000,-1.00000000,10,7560.47015023,6832.91087139,8262.25592702,399.98835402,5.10000000,0.00331615,0.38339393,0.01600996
exponential,0.90000000,0.20000000,1.00000000,10,7560.75319186,6855.78566400,8211.67068217,393.29847406,4.80000000,0.00663146,0.64237757,0.02776475
logarithmic,0.60000000,0.20000000,1.00000000,10,7560.76511573,6884.21952401,8262.25592702,391.66865554,5.10000000,0.00663116,0.73329694,0.03093427
linear,0.70000000,0.30000000,1.00000000,10,7562.34878734,6926.17394638,8231.71611541,378.38041474,3.90000000,0.00441904,0.49970197,0.02104407
exponential,0.80000000,0.30000000,-4.00000000,10,7562.48424769,6917.88658123,8232.25199510,380.35509405,4.80000000,0.00441909,0.52059027,0.02165618
logarithmic,0.70000000,0.40000000,9.00000000,10,7563.64243107,6864.81336599,8211.67068217,388.54081226,5.10000000,0.00331425,0.39020207,0.01631878
logarithmic,0.60000000,0.20000000,-9.00000000,10,7565.77249364,6876.67815305,8289.75287447,396.75592955,5.10000000,0.00662722,0.63023326,0.02733846
logarithmic,0.70000000,0.30000000,-3.00000000,10,7566.23855785,6832.91087139,8369.66057895,420.92166415,5.10000000,0.00441934,0.48183699,0.02029890
exponential,0.60000000,0.20000000,2.00000000,10,7567.07330821,6855.78566400,8289.75287447,397.36427760,4.20000000,0.00662619,0.66027024,0.02834885
exponential,0.80000000,0.30000000,4.00000000,10,7567.11651904,6866.31642090,8232.25199510,390.87003771,5.10000000,0.00441709,0.45823749,0.01971714
logarithmic,0.70000000,0.40000000,-9.00000000,10,7567.46479020,6832.91087139,8262.25592702,403.21057681,6.00000000,0.00331324,0.37415075,0.01579812
logarithmic,0.90000000,0.20000000,-3.00000000,10,7567.79457466,6855.78566400,8232.25199510,400.67651089,5.40000000,0.00662593,0.60851395,0.02652114
exponential,0.70000000,0.40000000,2.00000000,10,7568.33106437,6832.91087139,8311.09022511,414.09081795,5.40000000,0.00331332,0.37841418,0.01591152
exponential,0.80000000,0.20000000,4.00000000,10,7568.36833666,6828.41388985,8232.25199510,400.40263219,4.80000000,0.00662551,0.58327803,0.02596721
exponential,0.80000000,0.30000000,1.00000000,10,7569.35939654,6832.91087139,8245.50535146,399.41812131,4.80000000,0.00441633,0.48160978,0.02048300
exponential,0.70000000,0.30000000,1.00000000,10,7569.95949494,6844.41776529,8395.36305597,423.89011194,4.80000000,0.00441730,0.49155914,0.02062710
linear,0.60000000,0.20000000,1.00000000,10,7571.06548016,6832.91087139,8211.67068217,396.14908827,5.40000000,0.00662277,0.71275875,0.03014664
exponential,0.90000000,0.20000000,-4.00000000,10,7571.65463666,6855.78566400,8268.14719954,402.87712652,6.00000000,0.00662268,0.76626655,0.03176505
logarithmic,0.80000000,0.30000000,3.00000000,10,7574.16298599,6832.91087139,8262.25592702,412.93377906,4.80000000,0.00441434,0.50585436,0.02112715
logarithmic,0.60000000,0.20000000,9.00000000,10,7574.49743371,6926.17394638,8292.73295565,387.13989306,3.60000000,0.00661861,0.74656563,0.03116760
exponential,0.70000000,0.30000000,4.00000000,10,7577.40137997,6832.91087139,8211.67068217,418.68273747,5.40000000,0.00441280,0.45895614,0.01971917
logarithmic,0.70000000,0.30000000,3.00000000,10,7577.40832199,6954.85093229,8260.95552056,379.91435144,2.70000000,0.00441027,0.50851168,0.02127555
exponential,0.70000000,0.30000000,2.00000000,10,7578.04184391,6832.91087139,8369.66057895,423.74995181,5.40000000,0.00441265,0.47841689,0.02027556
exponential,0.60000000,0.20000000,-1.00000000,10,7578.65165875,6829.74792001,8278.46330961,411.14146674,5.10000000,0.00661742,0.73857885,0.03112451
logarithmic,0.60000000,0.20000000,3.00000000,10,7578.65753641,6934.27628935,8252.29742834,381.96603556,4.20000000,0.00661457,0.73731275,0.03118727
exponential,0.70000000,0.40000000,-4.00000000,10,7578.99875807,6866.31642090,8211.67068217,392.91259400,5.70000000,0.00330773,0.39248340,0.01636138
