run_id,n_cities,algorithm,iteration,iteration_best_distance,global_best_distance
100,250,BlindBlendAS,1,108928.10918709,108928.10918709
100,250,BlindBlendAS,2,115926.53661240,108928.10918709
100,250,BlindBlendAS,3,108128.74285321,108128.74285321
100,250,BlindBlendAS,4,101193.56613295,101193.56613295
100,250,BlindBlendAS,5,94347.14504196,94347.14504196
100,250,BlindBlendAS,6,92755.93155962,92755.93155962
100,250,BlindBlendAS,7,82797.09341544,82797.09341544
100,250,BlindBlendAS,8,83096.39261575,82797.09341544
100,250,BlindBlendAS,9,79780.77210380,79780.77210380
100,250,BlindBlendAS,10,78052.23026750,78052.23026750
100,250,BlindBlendAS,11,78045.22408428,78045.22408428
100,250,BlindBlendAS,12,77187.92485214,77187.92485214
100,250,BlindBlendAS,13,74750.24086653,74750.24086653
100,250,BlindBlendAS,14,75097.62938942,74750.24086653
100,250,BlindBlendAS,15,75073.33817049,74750.24086653
100,250,BlindBlendAS,16,73824.89370703,73824.89370703
100,250,BlindBlendAS,17,73121.14661122,73121.14661122
100,250,BlindBlendAS,18,73432.37362641,73121.14661122
100,250,BlindBlendAS,19,74729.13758272,73121.14661122
100,250,BlindBlendAS,20,75836.82937051,73121.14661122
100,250,BlindBlendAS,21,73795.75831281,73121.14661122
100,250,BlindBlendAS,22,76865.11037153,73121.14661122
100,250,BlindBlendAS,23,74840.15315503,73121.14661122
100,250,BlindBlendAS,24,70300.87670913,70300.87670913
100,250,BlindBlendAS,25,70197.35508971,70197.35508971
100,250,BlindBlendAS,26,70365.94488805,70197.35508971
100,250,BlindBlendAS,27,70365.94488805,70197.35508971
100,250,BlindBlendAS,28,69166.84656752,69166.84656752
100,250,BlindBlendAS,29,68177.98727525,68177.98727525
100,250,BlindBlendAS,30,67980.12564704,67980.12564704
100,250,BlindBlendAS,31,68085.45094900,67980.12564704
100,250,BlindBlendAS,32,67377.50341934,67377.50341934
100,250,BlindBlendAS,33,67071.67820354,67071.67820354
100,250,BlindBlendAS,34,70253.93596412,67071.67820354
100,250,BlindBlendAS,35,69038.41505992,67071.67820354
100,250,BlindBlendAS,36,69644.90434576,67071.67820354
100,250,BlindBlendAS,37,66580.67169353,66580.67169353
100,250,BlindBlendAS,38,66647.92147315,66580.67169353
100,250,BlindBlendAS,39,66339.05312198,66339.05312198
100,250,BlindBlendAS,40,66339.05312198,66339.05312198
100,250,BlindBlendAS,41,66243.73440095,66243.73440095
100,250,BlindBlendAS,42,66614.65091321,66243.73440095
100,250,BlindBlendAS,43,66188.84884294,66188.84884294
100,250,BlindBlendAS,44,66188.84884294,66188.84884294
100,250,BlindBlendAS,45,66188.84884294,66188.84884294
100,250,BlindBlendAS,46,65982.67025375,65982.67025375
100,250,BlindBlendAS,47,66188.84884294,65982.67025375
100,250,BlindBlendAS,48,66188.84884294,65982.67025375
100,250,BlindBlendAS,49,65690.48995677,65690.48995677
100,250,BlindBlendAS,50,65673.28703324,65673.28703324
100,250,BlindBlendAS,51,65673.28703324,65673.28703324
100,250,BlindBlendAS,52,65673.28703324,65673.28703324
100,250,BlindBlendAS,53,65340.72897051,65340.72897051
100,250,BlindBlendAS,54,65340.72897051,65340.72897051
100,250,BlindBlendAS,55,65336.72622607,65336.72622607
100,250,BlindBlendAS,56,65319.11553923,65319.11553923
100,250,BlindBlendAS,57,65318.61321260,65318.61321260
100,250,BlindBlendAS,58,65318.61321260,65318.61321260
100,250,BlindBlendAS,59,65318.61321260,65318.61321260
100,250,BlindBlendAS,60,65318.61321260,65318.61321260
100,250,BlindBlendAS,61,65318.61321260,65318.61321260
100,250,BlindBlendAS,62,65318.61321260,65318.61321260
100,250,BlindBlendAS,63,65226.10825512,65226.10825512
100,250,BlindBlendAS,64,65081.89050094,65081.89050094
100,250,BlindBlendAS,65,65174.39545842,65081.89050094
100,250,BlindBlendAS,66,65081.89050094,65081.89050094
100,250,BlindBlendAS,67,65049.67599457,65049.67599457
100,250,BlindBlendAS,68,65025.49864569,65025.49864569
100,250,BlindBlendAS,69,64957.17103709,64957.17103709
100,250,BlindBlendAS,70,64957.17103709,64957.17103709
100,250,BlindBlendAS,71,64957.17103709,64957.17103709
100,250,BlindBlendAS,72,64900.77918183,64900.77918183
100,250,BlindBlendAS,73,64900.77918183,64900.77918183
100,250,BlindBlendAS,74,64871.49602418,64871.49602418
100,250,BlindBlendAS,75,64815.10416892,64815.10416892
100,250,BlindBlendAS,76,64605.49015851,64605.49015851
100,250,BlindBlendAS,77,64583.03548597,64583.03548597
100,250,BlindBlendAS,78,64583.03548597,64583.03548597
100,250,BlindBlendAS,79,64583.03548597,64583.03548597
100,250,BlindBlendAS,80,64583.03548597,64583.03548597
100,250,BlindBlendAS,81,64338.47126624,64338.47126624
100,250,BlindBlendAS,82,64225.67986398,64225.67986398
100,250,BlindBlendAS,83,64225.67986398,64225.67986398
100,250,BlindBlendAS,84,64225.67986398,64225.67986398
100,250,BlindBlendAS,85,64225.67986398,64225.67986398
100,250,BlindBlendAS,86,64214.96430868,64214.96430868
100,250,BlindBlendAS,87,64210.96156425,64210.96156425
100,250,BlindBlendAS,88,64210.96156425,64210.96156425
100,250,BlindBlendAS,89,64171.89401161,64171.89401161
100,250,BlindBlendAS,90,64157.17571188,64157.17571188
100,250,BlindBlendAS,91,64123.82132681,64123.82132681
100,250,BlindBlendAS,92,64109.10302708,64109.10302708
100,250,BlindBlendAS,93,64157.17571188,64109.10302708
100,250,BlindBlendAS,94,64123.82132681,64109.10302708
100,250,BlindBlendAS,95,64109.10302708,64109.10302708
100,250,BlindBlendAS,96,64109.10302708,64109.10302708
100,250,BlindBlendAS,97,64109.10302708,64109.10302708
100,250,BlindBlendAS,98,63779.81621547,63779.81621547
100,250,BlindBlendAS,99,63765.09791574,63765.09791574
100,250,BlindBlendAS,100,63765.09791574,63765.09791574
100,250,BlindBlendAS,101,63765.09791574,63765.09791574
100,250,BlindBlendAS,102,63765.09791574,63765.09791574
100,250,BlindBlendAS,103,63693.08856732,63693.08856732
100,250,BlindBlendAS,104,63693.08856732,63693.08856732
100,250,BlindBlendAS,105,63457.26783370,63457.26783370
100,250,BlindBlendAS,106,63442.54953397,63442.54953397
100,250,BlindBlendAS,107,63693.08856732,63442.54953397
100,250,BlindBlendAS,108,63457.26783370,63442.54953397
100,250,BlindBlendAS,109,63421.07135331,63421.07135331
100,250,BlindBlendAS,110,63268.04209261,63268.04209261
100,250,BlindBlendAS,111,63268.04209261,63268.04209261
100,250,BlindBlendAS,112,63140.39873328,63140.39873328
100,250,BlindBlendAS,113,63268.04209261,63140.39873328
100,250,BlindBlendAS,114,63246.56391196,63140.39873328
100,250,BlindBlendAS,115,63246.56391196,63140.39873328
100,250,BlindBlendAS,116,63246.56391196,63140.39873328
100,250,BlindBlendAS,117,63231.84561223,63140.39873328
100,250,BlindBlendAS,118,63082.49460552,63082.49460552
100,250,BlindBlendAS,119,62992.40708414,62992.40708414
100,250,BlindBlendAS,120,62992.40708414,62992.40708414
100,250,BlindBlendAS,121,62992.40708414,62992.40708414
100,250,BlindBlendAS,122,62992.40708414,62992.40708414
100,250,BlindBlendAS,123,62992.40708414,62992.40708414
100,250,BlindBlendAS,124,62992.40708414,62992.40708414
100,250,BlindBlendAS,125,62946.66040562,62946.66040562
100,250,BlindBlendAS,126,62946.66040562,62946.66040562
100,250,BlindBlendAS,127,62946.66040562,62946.66040562
100,250,BlindBlendAS,128,62946.66040562,62946.66040562
100,250,BlindBlendAS,129,62946.66040562,62946.66040562
100,250,BlindBlendAS,130,62946.66040562,62946.66040562
100,250,BlindBlendAS,131,62946.66040562,62946.66040562
100,250,BlindBlendAS,132,62946.66040562,62946.66040562
100,250,BlindBlendAS,133,62684.26961245,62684.26961245
100,250,BlindBlendAS,134,62684.26961245,62684.26961245
100,250,BlindBlendAS,135,62684.26961245,62684.26961245
100,250,BlindBlendAS,136,62684.26961245,62684.26961245
100,250,BlindBlendAS,137,62684.26961245,62684.26961245
100,250,BlindBlendAS,138,62684.26961245,62684.26961245
100,250,BlindBlendAS,139,62684.26961245,62684.26961245
100,250,BlindBlendAS,140,62442.46130013,62442.46130013
100,250,BlindBlendAS,141,62442.46130013,62442.46130013
100,250,BlindBlendAS,142,62442.46130013,62442.46130013
100,250,BlindBlendAS,143,62433.19242036,62433.19242036
100,250,BlindBlendAS,144,62433.19242036,62433.19242036
100,250,BlindBlendAS,145,62433.19242036,62433.19242036
100,250,BlindBlendAS,146,62293.70914647,62293.70914647
100,250,BlindBlendAS,147,62120.73080942,62120.73080942
100,250,BlindBlendAS,148,62120.73080942,62120.73080942
100,250,BlindBlendAS,149,62293.70914647,62120.73080942
100,250,BlindBlendAS,150,62293.70914647,62120.73080942
100,250,BlindBlendAS,151,62120.73080942,62120.73080942
100,250,BlindBlendAS,152,62120.73080942,62120.73080942
100,250,BlindBlendAS,153,62293.70914647,62120.73080942
100,250,BlindBlendAS,154,62136.03013071,62120.73080942
100,250,BlindBlendAS,155,62027.93559802,62027.93559802
100,250,BlindBlendAS,156,62027.93559802,62027.93559802
100,250,BlindBlendAS,157,62027.93559802,62027.93559802
100,250,BlindBlendAS,158,62027.93559802,62027.93559802
100,250,BlindBlendAS,159,62027.93559802,62027.93559802
100,250,BlindBlendAS,160,62027.93559802,62027.93559802
100,250,BlindBlendAS,161,61945.32840215,61945.32840215
100,250,BlindBlendAS,162,61943.09478222,61943.09478222
100,250,BlindBlendAS,163,61860.48758635,61860.48758635
100,250,BlindBlendAS,164,61860.48758635,61860.48758635
100,250,BlindBlendAS,165,61860.48758635,61860.48758635
100,250,BlindBlendAS,166,61860.48758635,61860.48758635
100,250,BlindBlendAS,167,61860.48758635,61860.48758635
100,250,BlindBlendAS,168,61860.48758635,61860.48758635
100,250,BlindBlendAS,169,61860.48758635,61860.48758635
100,250,BlindBlendAS,170,61860.48758635,61860.48758635
100,250,BlindBlendAS,171,61853.65538500,61853.65538500
100,250,BlindBlendAS,172,61853.65538500,61853.65538500
100,250,BlindBlendAS,173,61853.65538500,61853.65538500
100,250,BlindBlendAS,174,61853.65538500,61853.65538500
100,250,BlindBlendAS,175,61853.65538500,61853.65538500
100,250,BlindBlendAS,176,61805.06244005,61805.06244005
100,250,BlindBlendAS,177,61805.06244005,61805.06244005
100,250,BlindBlendAS,178,61698.83064959,61698.83064959
100,250,BlindBlendAS,179,61691.99844824,61691.99844824
100,250,BlindBlendAS,180,61691.99844824,61691.99844824
100,250,BlindBlendAS,181,61691.99844824,61691.99844824
100,250,BlindBlendAS,182,61691.99844824,61691.99844824
100,250,BlindBlendAS,183,61686.06137286,61686.06137286
100,250,BlindBlendAS,184,61641.12307223,61641.12307223
100,250,BlindBlendAS,185,61635.60174122,61635.60174122
100,250,BlindBlendAS,186,61641.12307223,61635.60174122
100,250,BlindBlendAS,187,61641.12307223,61635.60174122
100,250,BlindBlendAS,188,61641.12307223,61635.60174122
100,250,BlindBlendAS,189,61397.51072987,61397.51072987
100,250,BlindBlendAS,190,61397.51072987,61397.51072987
100,250,BlindBlendAS,191,61397.51072987,61397.51072987
100,250,BlindBlendAS,192,61397.51072987,61397.51072987
100,250,BlindBlendAS,193,61397.51072987,61397.51072987
100,250,BlindBlendAS,194,61397.51072987,61397.51072987
100,250,BlindBlendAS,195,61397.51072987,61397.51072987
100,250,BlindBlendAS,196,61397.51072987,61397.51072987
100,250,BlindBlendAS,197,61397.51072987,61397.51072987
100,250,BlindBlendAS,198,61397.51072987,61397.51072987
100,250,BlindBlendAS,199,61397.51072987,61397.51072987
100,250,BlindBlendAS,200,61397.36887945,61397.36887945
100,250,BaselineAS,1,121995.20339080,121995.20339080
100,250,BaselineAS,2,103568.51699691,103568.51699691
100,250,BaselineAS,3,91506.32432651,91506.32432651
100,250,BaselineAS,4,82165.43332944,82165.43332944
100,250,BaselineAS,5,76828.15620169,76828.15620169
100,250,BaselineAS,6,75821.39249723,75821.39249723
100,250,BaselineAS,7,76101.40280069,75821.39249723
100,250,BaselineAS,8,73385.54365384,73385.54365384
100,250,BaselineAS,9,71812.41682289,71812.41682289
100,250,BaselineAS,10,72961.45277612,71812.41682289
100,250,BaselineAS,11,71133.72679996,71133.72679996
100,250,BaselineAS,12,72314.99534102,71133.72679996
100,250,BaselineAS,13,70690.56777444,70690.56777444
100,250,BaselineAS,14,71085.46962563,70690.56777444
100,250,BaselineAS,15,69444.70223924,69444.70223924
100,250,BaselineAS,16,71114.19118448,69444.70223924
100,250,BaselineAS,17,70139.18063801,69444.70223924
100,250,BaselineAS,18,71478.81406500,69444.70223924
100,250,BaselineAS,19,70595.24050311,69444.70223924
100,250,BaselineAS,20,70743.93179487,69444.70223924
100,250,BaselineAS,21,70319.89992954,69444.70223924
100,250,BaselineAS,22,71521.42353036,69444.70223924
100,250,BaselineAS,23,71284.67035302,69444.70223924
100,250,BaselineAS,24,69844.43398028,69444.70223924
100,250,BaselineAS,25,71036.27271507,69444.70223924
100,250,BaselineAS,26,70677.37635910,69444.70223924
100,250,BaselineAS,27,67307.05572771,67307.05572771
100,250,BaselineAS,28,68166.26978590,67307.05572771
100,250,BaselineAS,29,70845.11186401,67307.05572771
100,250,BaselineAS,30,72274.17674207,67307.05572771
100,250,BaselineAS,31,71258.38300297,67307.05572771
100,250,BaselineAS,32,69627.98877035,67307.05572771
100,250,BaselineAS,33,71826.74620877,67307.05572771
100,250,BaselineAS,34,68300.68399286,67307.05572771
100,250,BaselineAS,35,70109.39621604,67307.05572771
100,250,BaselineAS,36,71191.80790698,67307.05572771
100,250,BaselineAS,37,69520.20589258,67307.05572771
100,250,BaselineAS,38,72366.95888615,67307.05572771
100,250,BaselineAS,39,70491.41831960,67307.05572771
100,250,BaselineAS,40,71788.04438065,67307.05572771
100,250,BaselineAS,41,69476.85388743,67307.05572771
100,250,BaselineAS,42,70393.61641766,67307.05572771
100,250,BaselineAS,43,67582.74798150,67307.05572771
100,250,BaselineAS,44,70501.51420430,67307.05572771
100,250,BaselineAS,45,72033.94859589,67307.05572771
100,250,BaselineAS,46,70687.60404703,67307.05572771
100,250,BaselineAS,47,69979.08508793,67307.05572771
100,250,BaselineAS,48,72136.70750025,67307.05572771
100,250,BaselineAS,49,71368.17780549,67307.05572771
100,250,BaselineAS,50,71912.79570340,67307.05572771
100,250,BaselineAS,51,71020.06908477,67307.05572771
100,250,BaselineAS,52,70862.65867640,67307.05572771
100,250,BaselineAS,53,72452.15846506,67307.05572771
100,250,BaselineAS,54,69291.14491596,67307.05572771
100,250,BaselineAS,55,68107.30814795,67307.05572771
100,250,BaselineAS,56,67963.03398553,67307.05572771
100,250,BaselineAS,57,70576.55008433,67307.05572771
100,250,BaselineAS,58,69603.01160082,67307.05572771
100,250,BaselineAS,59,68681.10263857,67307.05572771
100,250,BaselineAS,60,69604.84359583,67307.05572771
100,250,BaselineAS,61,70826.47780804,67307.05572771
100,250,BaselineAS,62,70388.36782450,67307.05572771
100,250,BaselineAS,63,72439.88757061,67307.05572771
100,250,BaselineAS,64,72450.42150192,67307.05572771
100,250,BaselineAS,65,70673.92459800,67307.05572771
100,250,BaselineAS,66,71881.64807366,67307.05572771
100,250,BaselineAS,67,69812.16228554,67307.05572771
100,250,BaselineAS,68,68621.01971782,67307.05572771
100,250,BaselineAS,69,70971.02219994,67307.05572771
100,250,BaselineAS,70,70859.39108170,67307.05572771
100,250,BaselineAS,71,70426.18996918,67307.05572771
100,250,BaselineAS,72,68119.43965223,67307.05572771
100,250,BaselineAS,73,71099.81641329,67307.05572771
100,250,BaselineAS,74,68995.27261503,67307.05572771
100,250,BaselineAS,75,72156.62669949,67307.05572771
100,250,BaselineAS,76,70382.32327091,67307.05572771
100,250,BaselineAS,77,70358.10217710,67307.05572771
