parameter,value,runs,average_best_distance,best_distance,worst_distance,stddev_best_distance,average_blind_rounds
ant_parameter_variation,0.1000,20,15541.59370119,14561.13362450,16647.84189969,492.03069160,20.75000000
ant_parameter_variation,0.2000,20,15546.04274642,14561.13362450,16726.57761098,497.93630577,23.50000000
ant_parameter_variation,0.0000,20,15557.35824297,14669.91469015,16705.10125446,470.38957017,21.75000000
ant_parameter_variation,0.1500,20,15558.03833927,14561.13362450,16602.61547494,497.18205563,22.25000000
ant_parameter_variation,0.0500,20,15588.05346660,14586.98794823,16642.97655734,474.68557489,19.00000000
base_pheromone,2.0000,20,15516.59587255,14561.13362450,16709.43062929,489.64760417,23.00000000
base_pheromone,1.0000,20,15541.59370119,14561.13362450,16647.84189969,492.03069160,20.75000000
base_pheromone,1.5000,20,15554.68117695,14831.10255567,16603.64085051,459.36493901,17.50000000
base_pheromone,3.0000,20,15556.76860687,14586.98794823,16651.98649652,497.45612495,22.75000000
base_pheromone,0.5000,20,15572.88282348,14561.13362450,16645.40046415,480.29973719,20.25000000
blind_blend_weight,0.5000,20,15541.59370119,14561.13362450,16647.84189969,492.03069160,20.75000000
blind_blend_weight,0.7500,20,15542.85765941,14561.13362450,16687.15961314,483.14059399,22.75000000
blind_blend_weight,0.2500,20,15579.13674296,14561.13362450,16642.97655734,501.97418735,22.00000000
blind_blend_weight,1.0000,20,15586.18666408,14561.13362450,16687.15961314,497.92630152,24.50000000
blind_blend_weight,0.0000,20,15591.39529220,14561.13362450,16687.15961314,522.46466644,0.00000000
blind_iterations,3,20,15533.51377681,14561.13362450,16687.15961314,493.12112146,12.45000000
blind_iterations,8,20,15541.03459914,14561.13362450,16687.15961314,492.36972186,34.00000000
blind_iterations,5,20,15541.59370119,14561.13362450,16647.84189969,492.03069160,20.75000000
blind_iterations,10,20,15560.64817597,14561.13362450,16687.15961314,491.50115072,45.50000000
blind_iterations,1,20,15567.67256314,14561.13362450,16687.15961314,492.41995684,4.55000000
blind_stagnation_limit,10,20,15541.59370119,14561.13362450,16647.84189969,492.03069160,20.75000000
blind_stagnation_limit,20,20,15543.50790794,14561.13362450,16643.77347031,486.59622496,8.50000000
blind_stagnation_limit,15,20,15551.08940828,14561.13362450,16687.15961314,493.90766841,11.75000000
blind_stagnation_limit,5,20,15556.19071454,14561.13362450,16716.18327196,489.50995344,56.75000000
blind_stagnation_limit,30,20,15583.59521200,14561.13362450,16687.15961314,516.58462800,5.25000000
nearest_neighbor_pheromone,2.0000,20,15513.87155537,14561.13362450,16602.61547494,483.93106880,20.50000000
nearest_neighbor_pheromone,1.5000,20,15525.79543413,14561.13362450,16649.07864244,506.41251504,21.75000000
nearest_neighbor_pheromone,1.0000,20,15539.72675028,14561.13362450,16945.82646938,527.96076753,24.25000000
nearest_neighbor_pheromone,1.1000,20,15541.59370119,14561.13362450,16647.84189969,492.03069160,20.75000000
nearest_neighbor_pheromone,1.2500,20,15565.70827424,14571.18063135,16945.82646938,519.49629267,25.00000000
