schedule,start_evaporation,end_evaporation,curve,iteration,evaporation
linear,0.90000000,0.20000000,1.00000000,0,0.90000000
linear,0.90000000,0.20000000,1.00000000,1,0.88571429
linear,0.90000000,0.20000000,1.00000000,2,0.87142857
linear,0.90000000,0.20000000,1.00000000,3,0.85714286
linear,0.90000000,0.20000000,1.00000000,4,0.84285714
linear,0.90000000,0.20000000,1.00000000,5,0.82857143
linear,0.90000000,0.20000000,1.00000000,6,0.81428571
linear,0.90000000,0.20000000,1.00000000,7,0.80000000
linear,0.90000000,0.20000000,1.00000000,8,0.78571429
linear,0.90000000,0.20000000,1.00000000,9,0.77142857
linear,0.90000000,0.20000000,1.00000000,10,0.75714286
linear,0.90000000,0.20000000,1.00000000,11,0.74285714
linear,0.90000000,0.20000000,1.00000000,12,0.72857143
linear,0.90000000,0.20000000,1.00000000,13,0.71428571
linear,0.90000000,0.20000000,1.00000000,14,0.70000000
linear,0.90000000,0.20000000,1.00000000,15,0.68571429
linear,0.90000000,0.20000000,1.00000000,16,0.67142857
linear,0.90000000,0.20000000,1.00000000,17,0.65714286
linear,0.90000000,0.20000000,1.00000000,18,0.64285714
linear,0.90000000,0.20000000,1.00000000,19,0.62857143
linear,0.90000000,0.20000000,1.00000000,20,0.61428571
linear,0.90000000,0.20000000,1.00000000,21,0.60000000
linear,0.90000000,0.20000000,1.00000000,22,0.58571429
linear,0.90000000,0.20000000,1.00000000,23,0.57142857
linear,0.90000000,0.20000000,1.00000000,24,0.55714286
linear,0.90000000,0.20000000,1.00000000,25,0.54285714
linear,0.90000000,0.20000000,1.00000000,26,0.52857143
linear,0.90000000,0.20000000,1.00000000,27,0.51428571
linear,0.90000000,0.20000000,1.00000000,28,0.50000000
linear,0.90000000,0.20000000,1.00000000,29,0.48571429
linear,0.90000000,0.20000000,1.00000000,30,0.47142857
linear,0.90000000,0.20000000,1.00000000,31,0.45714286
linear,0.90000000,0.20000000,1.00000000,32,0.44285714
linear,0.90000000,0.20000000,1.00000000,33,0.42857143
linear,0.90000000,0.20000000,1.00000000,34,0.41428571
linear,0.90000000,0.20000000,1.00000000,35,0.40000000
linear,0.90000000,0.20000000,1.00000000,36,0.38571429
linear,0.90000000,0.20000000,1.00000000,37,0.37142857
linear,0.90000000,0.20000000,1.00000000,38,0.35714286
linear,0.90000000,0.20000000,1.00000000,39,0.34285714
linear,0.90000000,0.20000000,1.00000000,40,0.32857143
linear,0.90000000,0.20000000,1.00000000,41,0.31428571
linear,0.90000000,0.20000000,1.00000000,42,0.30000000
linear,0.90000000,0.20000000,1.00000000,43,0.28571429
linear,0.90000000,0.20000000,1.00000000,44,0.27142857
