parameter,value,seed_index,python_seed,city_seed,best_distance,blind_rounds
ant_parameter_variation,0.0000,0,43,47,14669.91469015,10
ant_parameter_variation,0.0000,1,44,48,15505.58780078,25
ant_parameter_variation,0.0000,2,45,49,15594.94097754,25
ant_parameter_variation,0.0000,3,46,50,16705.10125446,15
ant_parameter_variation,0.0000,4,47,51,16189.06948959,20
ant_parameter_variation,0.0000,5,48,52,15021.27589300,20
ant_parameter_variation,0.0000,6,49,53,15873.18396770,20
ant_parameter_variation,0.0000,7,50,54,15801.73605873,10
ant_parameter_variation,0.0000,8,51,55,16330.49862902,25
ant_parameter_variation,0.0000,9,52,56,15746.60528987,35
ant_parameter_variation,0.0000,10,53,57,15460.66668389,25
ant_parameter_variation,0.0000,11,54,58,15836.43522005,35
ant_parameter_variation,0.0000,12,55,59,15130.00966713,30
ant_parameter_variation,0.0000,13,56,60,15688.98260240,25
ant_parameter_variation,0.0000,14,57,61,15173.48112265,15
ant_parameter_variation,0.0000,15,58,62,15277.68814316,25
ant_parameter_variation,0.0000,16,59,63,15341.08841135,25
ant_parameter_variation,0.0000,17,60,64,15373.67207481,25
ant_parameter_variation,0.0000,18,61,65,15274.01921365,10
ant_parameter_variation,0.0000,19,62,66,15153.20766940,15
ant_parameter_variation,0.0500,0,43,47,14586.98794823,20
ant_parameter_variation,0.0500,1,44,48,15494.50833608,10
ant_parameter_variation,0.0500,2,45,49,15704.04161726,15
ant_parameter_variation,0.0500,3,46,50,16642.97655734,20
ant_parameter_variation,0.0500,4,47,51,16211.57577141,20
ant_parameter_variation,0.0500,5,48,52,14980.35943391,5
ant_parameter_variation,0.0500,6,49,53,15721.68936881,10
ant_parameter_variation,0.0500,7,50,54,15779.08016532,10
ant_parameter_variation,0.0500,8,51,55,16406.40275584,20
ant_parameter_variation,0.0500,9,52,56,15746.60528987,35
ant_parameter_variation,0.0500,10,53,57,15697.65572549,10
ant_parameter_variation,0.0500,11,54,58,15810.89165767,30
ant_parameter_variation,0.0500,12,55,59,15260.06906545,25
ant_parameter_variation,0.0500,13,56,60,15825.98060130,25
ant_parameter_variation,0.0500,14,57,61,15134.61558136,30
ant_parameter_variation,0.0500,15,58,62,15255.22405879,20
ant_parameter_variation,0.0500,16,59,63,15328.91639337,20
ant_parameter_variation,0.0500,17,60,64,15480.96125819,25
ant_parameter_variation,0.0500,18,61,65,15595.55672287,5
ant_parameter_variation,0.0500,19,62,66,15096.97102351,25
ant_parameter_variation,0.1000,0,43,47,14561.13362450,30
ant_parameter_variation,0.1000,1,44,48,15366.09087125,10
ant_parameter_variation,0.1000,2,45,49,15807.49198582,25
ant_parameter_variation,0.1000,3,46,50,16647.84189969,10
ant_parameter_variation,0.1000,4,47,51,16124.17915505,15
ant_parameter_variation,0.1000,5,48,52,14831.10255567,10
ant_parameter_variation,0.1000,6,49,53,15949.93711454,25
ant_parameter_variation,0.1000,7,50,54,15784.03969516,20
ant_parameter_variation,0.1000,8,51,55,16283.40169944,20
ant_parameter_variation,0.1000,9,52,56,15746.60528987,30
ant_parameter_variation,0.1000,10,53,57,15501.27674794,30
ant_parameter_variation,0.1000,11,54,58,15911.19465911,10
ant_parameter_variation,0.1000,12,55,59,15217.97444555,25
ant_parameter_variation,0.1000,13,56,60,15662.03719002,20
ant_parameter_variation,0.1000,14,57,61,15134.61269338,30
ant_parameter_variation,0.1000,15,58,62,15265.46700419,10
ant_parameter_variation,0.1000,16,59,63,15319.20127490,15
ant_parameter_variation,0.1000,17,60,64,15363.43944484,25
ant_parameter_variation,0.1000,18,61,65,15331.49117102,25
ant_parameter_variation,0.1000,19,62,66,15023.35550177,30
ant_parameter_variation,0.1500,0,43,47,14561.13362450,30
ant_parameter_variation,0.1500,1,44,48,15256.89904213,15
ant_parameter_variation,0.1500,2,45,49,15594.94097754,25
ant_parameter_variation,0.1500,3,46,50,16602.61547494,15
ant_parameter_variation,0.1500,4,47,51,16178.77843411,30
ant_parameter_variation,0.1500,5,48,52,14831.10255567,25
ant_parameter_variation,0.1500,6,49,53,15537.57702832,25
ant_parameter_variation,0.1500,7,50,54,16252.54884726,25
ant_parameter_variation,0.1500,8,51,55,16256.80649651,30
ant_parameter_variation,0.1500,9,52,56,15746.60528987,25
ant_parameter_variation,0.1500,10,53,57,15439.94667986,25
ant_parameter_variation,0.1500,11,54,58,15993.68533593,20
ant_parameter_variation,0.1500,12,55,59,15139.46122661,25
ant_parameter_variation,0.1500,13,56,60,15678.32843237,30
ant_parameter_variation,0.1500,14,57,61,15363.20873371,15
ant_parameter_variation,0.1500,15,58,62,15274.54948628,15
ant_parameter_variation,0.1500,16,59,63,15288.81520522,15
ant_parameter_variation,0.1500,17,60,64,15362.55645078,15
ant_parameter_variation,0.1500,18,61,65,15695.93445372,20
ant_parameter_variation,0.1500,19,62,66,15105.27301001,20
ant_parameter_variation,0.2000,0,43,47,14561.13362450,25
ant_parameter_variation,0.2000,1,44,48,15241.15594796,30
ant_parameter_variation,0.2000,2,45,49,15594.94097754,20
ant_parameter_variation,0.2000,3,46,50,16726.57761098,30
ant_parameter_variation,0.2000,4,47,51,16134.13419315,25
ant_parameter_variation,0.2000,5,48,52,14782.50700980,35
ant_parameter_variation,0.2000,6,49,53,15864.97730596,35
ant_parameter_variation,0.2000,7,50,54,15794.20423141,15
ant_parameter_variation,0.2000,8,51,55,16284.38856400,10
ant_parameter_variation,0.2000,9,52,56,15898.06973869,35
ant_parameter_variation,0.2000,10,53,57,15439.94667986,30
ant_parameter_variation,0.2000,11,54,58,15923.54743837,10
ant_parameter_variation,0.2000,12,55,59,15106.19787749,20
ant_parameter_variation,0.2000,13,56,60,15590.88420261,25
ant_parameter_variation,0.2000,14,57,61,15173.48112265,25
ant_parameter_variation,0.2000,15,58,62,15345.05920657,30
ant_parameter_variation,0.2000,16,59,63,15318.78668691,20
ant_parameter_variation,0.2000,17,60,64,15324.84854606,15
ant_parameter_variation,0.2000,18,61,65,15596.97726926,15
ant_parameter_variation,0.2000,19,62,66,15219.03669463,20
blind_stagnation_limit,5,0,43,47,14561.13362450,60
blind_stagnation_limit,5,1,44,48,15674.57381585,60
blind_stagnation_limit,5,2,45,49,15807.49198582,50
blind_stagnation_limit,5,3,46,50,16716.18327196,50
blind_stagnation_limit,5,4,47,51,16127.60410205,50
blind_stagnation_limit,5,5,48,52,14988.73387485,65
blind_stagnation_limit,5,6,49,53,15690.33055748,50
blind_stagnation_limit,5,7,50,54,15794.20423141,45
blind_stagnation_limit,5,8,51,55,16377.62006973,60
blind_stagnation_limit,5,9,52,56,15755.86426605,70
