parameter,value,seed_index,python_seed,city_seed,best_distance,blind_rounds
min_max_tau_ratio,0.5000,0,43,47,8701.22273481,10
min_max_tau_ratio,0.5000,1,44,48,8792.04869989,10
min_max_tau_ratio,0.5000,2,45,49,9442.74641904,5
min_max_tau_ratio,0.5000,3,46,50,9932.88003443,5
min_max_tau_ratio,0.5000,4,47,51,9611.99676999,5
min_max_tau_ratio,0.5000,5,48,52,8766.32425966,0
min_max_tau_ratio,0.5000,6,49,53,9501.08626259,5
min_max_tau_ratio,0.5000,7,50,54,9285.07908708,10
min_max_tau_ratio,0.5000,8,51,55,9710.08829576,0
min_max_tau_ratio,0.5000,9,52,56,9925.62408891,0
min_max_tau_ratio,1.0000,0,43,47,8701.22273481,10
min_max_tau_ratio,1.0000,1,44,48,8792.04869989,5
min_max_tau_ratio,1.0000,2,45,49,9462.07843246,10
min_max_tau_ratio,1.0000,3,46,50,9897.91783891,0
min_max_tau_ratio,1.0000,4,47,51,9639.43980189,5
min_max_tau_ratio,1.0000,5,48,52,8729.25639545,5
min_max_tau_ratio,1.0000,6,49,53,9435.51064900,5
min_max_tau_ratio,1.0000,7,50,54,9285.07908708,10
min_max_tau_ratio,1.0000,8,51,55,9765.52384299,10
min_max_tau_ratio,1.0000,9,52,56,9925.62408891,5
min_max_tau_ratio,2.0000,0,43,47,8701.22273481,5
min_max_tau_ratio,2.0000,1,44,48,8792.04869989,10
min_max_tau_ratio,2.0000,2,45,49,9442.74641904,10
min_max_tau_ratio,2.0000,3,46,50,9890.79571813,10
min_max_tau_ratio,2.0000,4,47,51,9588.43522939,10
min_max_tau_ratio,2.0000,5,48,52,8732.48877383,5
min_max_tau_ratio,2.0000,6,49,53,9475.84145992,0
min_max_tau_ratio,2.0000,7,50,54,9285.07908708,10
min_max_tau_ratio,2.0000,8,51,55,9710.08829576,10
min_max_tau_ratio,2.0000,9,52,56,10074.56996649,5
min_max_tau_ratio,3.0000,0,43,47,8701.22273481,5
min_max_tau_ratio,3.0000,1,44,48,8792.04869989,10
min_max_tau_ratio,3.0000,2,45,49,9462.07843246,10
min_max_tau_ratio,3.0000,3,46,50,9919.35819619,5
min_max_tau_ratio,3.0000,4,47,51,9588.43522939,10
min_max_tau_ratio,3.0000,5,48,52,8803.48133867,5
min_max_tau_ratio,3.0000,6,49,53,9733.07773305,0
min_max_tau_ratio,3.0000,7,50,54,9318.47281553,10
min_max_tau_ratio,3.0000,8,51,55,9710.08829576,5
min_max_tau_ratio,3.0000,9,52,56,10074.56996649,10
min_max_tau_ratio,5.0000,0,43,47,8701.22273481,10
min_max_tau_ratio,5.0000,1,44,48,8792.04869989,10
min_max_tau_ratio,5.0000,2,45,49,9442.74641904,5
min_max_tau_ratio,5.0000,3,46,50,9875.13456975,10
min_max_tau_ratio,5.0000,4,47,51,9591.53184019,5
min_max_tau_ratio,5.0000,5,48,52,8758.13535128,5
min_max_tau_ratio,5.0000,6,49,53,9590.10383983,5
min_max_tau_ratio,5.0000,7,50,54,9318.47281553,10
min_max_tau_ratio,5.0000,8,51,55,9710.08829576,5
min_max_tau_ratio,5.0000,9,52,56,9925.62408891,10
min_max_tau_ratio,10.0000,0,43,47,8701.22273481,5
min_max_tau_ratio,10.0000,1,44,48,8792.04869989,5
min_max_tau_ratio,10.0000,2,45,49,9462.07843246,5
min_max_tau_ratio,10.0000,3,46,50,9890.79571813,10
min_max_tau_ratio,10.0000,4,47,51,9588.43522939,5
min_max_tau_ratio,10.0000,5,48,52,8757.20587458,10
min_max_tau_ratio,10.0000,6,49,53,9734.81750245,5
min_max_tau_ratio,10.0000,7,50,54,9318.47281553,10
min_max_tau_ratio,10.0000,8,51,55,9763.97214003,5
min_max_tau_ratio,10.0000,9,52,56,9973.21672904,5
min_max_tau_ratio,20.0000,0,43,47,8701.22273481,5
min_max_tau_ratio,20.0000,1,44,48,8792.04869989,5
min_max_tau_ratio,20.0000,2,45,49,9474.68590181,5
min_max_tau_ratio,20.0000,3,46,50,9890.79571813,5
min_max_tau_ratio,20.0000,4,47,51,9594.28815316,5
min_max_tau_ratio,20.0000,5,48,52,8831.43081779,0
min_max_tau_ratio,20.0000,6,49,53,9677.11223829,5
min_max_tau_ratio,20.0000,7,50,54,9285.07908708,10
min_max_tau_ratio,20.0000,8,51,55,9827.31089949,5
min_max_tau_ratio,20.0000,9,52,56,10051.00844264,5
